
"Ocupa&ccedil;&otilde;es em geral";"Quantidade"
"Gerente de servi&ccedil;os de saude administrado";113
"Gerente de suporte tecnico de tecnologia";1
"Gerente financeiro";1
"Operador de computador inclusive microcom";2
"Operador de radiochamada";4
"Programador de sistemas de informacao";1
"Recepcionista em geral";86
"Secretaria  executiva";10
"Supervisor administrativo";16
"Supervisor de controle patrimonial";2
"Supervisor de tesouraria";3
"Tecnico de apoio usu&aacute;rio inform helpdesk";5
"Tecnico de contabilidade";1
"Tecnico em manuten&ccedil;&atilde;o de equip inform&aacute;tic";5
"Tecnico em seguran&ccedil;a no trabalho";19
"Telefonista";50
" SERVI&Ccedil;O DE LIMPEZA/CONSERVA&Ccedil;&Atilde;O";5
"de higiene e seguran&ccedil;a";1
"Auxiliar de lavanderia";2
"Eletricista de instala&ccedil;&otilde;es";1
"Operador de caldeira";1
" SEGURAN&Ccedil;A";11
"Agente de seguran&ccedil;a";10
"Vigilante";1
" OUTRAS OCUPA&Ccedil;&Otilde;ES ADMINISTRATIVAS";875
"Copeiro";2
"Copeiro de hospital";9
"Cozinheiro de hospital";4
"Motorista de carro de passeio";8
"Motorista de furg&atilde;o ou ve&iacute;culo similar";2
"Trabalhador de servi&ccedil;os de manuten&ccedil;&atilde;o";850
"Total";9803
&
