dataset;arquivo;url;sha256;tamanho_bytes;registros_campos;data_download
cat;CAT_de_Janeiro_a_Junho_de_2013.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JANEIRO+A+JUNHO_2013.xlsx;bf43390e6432ced8b4d88e494734b9fe22ebbe1e1f5bbaba842bc66e163f89b0;2612281;610;2026-07-21 18:14:58
cat;CAT_de_Julho_a_Dezembro_de_2013.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JULHO+A+DEZEMBRO_2013.xlsx;b703b27dde84af467c55f107d2bd60ec636af6939e2da6300872056fb2bd6843;2843529;664;2026-07-21 18:16:14
cat;CAT_de_Janeiro_a_Junho__de_2014.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JANEIRO+A+JUNHO_2014.xlsx;a0fc2aca043c9fb5612eba19078737badb0776f65145f165cd2e6a2058082ce6;2573682;601;2026-07-21 18:17:30
cat;CAT_de_Julho_a_Dezembro_de_2014.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JULHO+A+DEZEMBRO_2014.xlsx;4e920896c5ba268f7b2cb678ee8fc1d33b9af8a908f30d7fb43c49e63f2c8c94;2976783;695;2026-07-21 18:18:47
cat;CAT_de_Janeiro_a_Junho_de_2015.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JANEIRO+A+JUNHO_2015.xlsx;de3140ad23ad55d6a8bc75823f137c53f5b17d95b1df2a2e0e999309fc809789;2300237;537;2026-07-21 18:20:09
cat;CAT_de_Julho_a_Dezembro_de_2015.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JULHO+A+DEZEMBRO_2015.xlsx;7e47d04ecb39bd39f1ce5e3c5b1f32c7bde47e1c228e2de791d3b5a179eaa085;2433757;568;2026-07-21 18:21:39
cat;CAT_de_Janeiro_a_Junho_de_2016.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JANEIRO+A+JUNHO_2016.xlsx;884676ad959cc450f03c237be24e24278c87c88317b7ef4e76dc20b05a5befa3;1953163;456;2026-07-21 18:23:05
cat;CAT_de_Julho_a_Dezembro_de_2016.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JULHO+A+DEZEMBRO_2016.xlsx;632b25ef1e91345a699a0fa6a4996be4567bbf0ddd8b21399f3441480bf40156;2116378;494;2026-07-21 18:24:49
cat;CAT_de_Janeiro_a_Junho_de_2017.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JANEIRO+A+JUNHO_2017.xlsx;205997ad24e46f54c4d4ae5be0cc3355420f2a78daac7c942da5c03d5b9746f1;1627902;380;2026-07-21 18:26:54
cat;CAT_de_Julho_a_Dezembro_de_2017.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JULHO+A+DEZEMBRO_2017.xlsx;ae456175dc52b95fb6d564cec6d97af5335b17cbcd3e9ffc6fa8d88007628b1e;1735176;405;2026-07-21 18:27:58
cat;CAT_de_Janeiro_a_Junho_de_2018.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JANEIRO+A+JUNHO_2018+(2)+(1).xlsx;9adc8935d4a67e1cbb7a1cc4551e9af9ee35490fdf021767e13bc91976556f4c;1615344;377;2026-07-21 18:29:39
cat;CAT_de_Janeiro_a_Junho_de_2011.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JANEIRO+A+JUNHO_2011.xlsx;ca1e04af89c00cd5837c99999c5c5ab009a6d9ea1c95a7fe9f6173f21b08efff;2994802;699;2026-07-21 18:31:10
cat;CAT_de_Julho_a_Dezembro_de_2011.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JULHO+A+DEZEMBRO_2011.xlsx;1556e9e36f04cda0c2809b9fff2e2ec5a2b2c82a733320b47a7abd5fac48d8e1;1777537;415;2026-07-21 18:32:02
