Código;Descrição;Dotação Inicial;Alt. de Dotação;Dotação Atualizada;Valor Empenhado;Valor Liquidado;Valor Pago
3.3.90.36.15 ;LOCAÇÃO DE IMÓVEIS;0,00;0,00;0,00;1.642.240,97;1.596.685,44;1.579.485,44
3.3.90.36.35 ;SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;0,00;0,00;0,00;56.272.504,02;56.272.504,02;56.269.296,02
3.3.90.36.99 ;OUTROS SERVIÇOS DE PESSOA FÍSICA;960.000,00;-82.628,00;877.372,00;46.340.322,12;46.329.855,57;46.068.569,62
3.3.90.39.01 ;ASSINATURAS DE PERIÓDICOS E ANUIDADES;0,00;0,00;0,00;3.509.925,00;2.169.771,84;1.946.412,98
3.3.90.39.02 ;CONDOMÍNIOS;0,00;0,00;0,00;14.934,00;14.934,00;14.934,00
3.3.90.39.05 ;SERVIÇOS TÉCNICOS PROFISSIONAIS;0,00;0,00;0,00;7.986.024,65;5.446.892,67;4.768.480,72
3.3.90.39.09 ;ARMAZENAGEM;0,00;0,00;0,00;15.951,04;15.951,04;15.951,04
3.3.90.39.10 ;LOCAÇÃO DE IMÓVEIS;0,00;0,00;0,00;810.600,43;787.299,72;562.983,43
3.3.90.39.12 ;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;0,00;0,00;0,00;0,00;0,00;0,00
3.3.90.39.14 ;LOCAÇÃO BENS MÓVEIS DE OUTRAS NATUREZAS E INTANGÍVEIS;0,00;0,00;0,00;7.120,00;7.120,00;7.120,00
3.3.90.39.16 ;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;0,00;0,00;0,00;20.564.438,45;20.312.838,25;18.273.299,72
3.3.90.39.17 ;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;0,00;0,00;0,00;7.637,00;7.637,00;7.637,00
3.3.90.39.19 ;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;0,00;0,00;0,00;645.811,25;645.811,25;645.811,25
3.3.90.39.22 ;EXPOSIÇÕES, CONGRESSOS E CONFERÊNCIAS;0,00;0,00;0,00;73.350,00;5.600,00;5.600,00
3.3.90.39.37 ;JUROS;0,00;0,00;0,00;4.498,81;4.498,81;4.498,81
3.3.90.39.41 ;FORNECIMENTO DE ALIMENTAÇÃO;0,00;0,00;0,00;27.269.161,88;25.094.495,56;15.627.384,81
3.3.90.39.43 ;SERVIÇOS DE ENERGIA ELÉTRICA;0,00;0,00;0,00;59.757.787,25;55.050.017,25;54.373.835,30
3.3.90.39.44 ;SERVIÇOS DE ÁGUA E ESGOTO;0,00;0,00;0,00;7.004.317,44;6.319.152,12;5.787.317,44
3.3.90.39.58 ;SERVIÇOS DE TELECOMUNICAÇÕES;0,00;0,00;0,00;2.474.454,11;2.472.178,68;2.088.709,30
3.3.90.39.62 ;SERVIÇOS DE PRODUÇÃO INDUSTRIAL;0,00;0,00;0,00;9.000.000,00;9.000.000,00;9.000.000,00
3.3.90.39.63 ;SERVIÇOS GRÁFICOS E EDITORIAIS;0,00;0,00;0,00;981.977,20;727.402,30;714.658,30
3.3.90.39.69 ;SEGUROS EM GERAL;0,00;0,00;0,00;4.633,86;4.633,86;4.633,86
3.3.90.39.73 ;TRANSPORTE DE SERVIDORES / EMPREGADOS;0,00;0,00;0,00;11.934,80;11.934,80;11.934,80
3.3.90.39.78 ;LIMPEZA E CONSERVAÇÃO;0,00;0,00;0,00;201.299,61;0,00;0,00
3.3.90.39.79 ;SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;0,00;0,00;0,00;31.900,00;31.900,00;0,00
3.3.90.39.80 ;HOSPEDAGENS;0,00;0,00;0,00;296.434,00;296.434,00;296.434,00
3.3.90.39.81 ;SERVIÇOS BANCÁRIOS;0,00;0,00;0,00;1.874.125,44;1.873.821,66;1.873.821,66
3.3.90.39.83 ;SERVIÇOS DE CÓPIAS E REPRODUÇÃO DE DOCUMENTOS;0,00;0,00;0,00;1.439,58;959,72;479,86
3.3.90.39.88 ;SERVIÇOS DE PUBLICIDADE E PROPAGANDA;0,00;0,00;0,00;1.974.280,08;1.974.280,08;1.974.280,08
3.3.90.39.90 ;SERVIÇOS DE PUBLICIDADE LEGAL;0,00;0,00;0,00;11.648,00;11.648,00;11.648,00
3.3.90.39.99 ;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;0,00;0,00;0,00;187.186.908,03;186.001.335,21;181.057.915,90
3.3.90.40.16 ;LOCAÇÃO DE SOFTWARE;0,00;0,00;0,00;163.980,00;156.200,00;0,00
3.3.90.40.99 ;OUTROS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO -;0,00;0,00;0,00;175.200,00;175.200,00;175.200,00
3.3.90.46.01 ;INDENIZAÇÃO AUXÍLIO ALIMENTAÇÃO;0,00;0,00;0,00;20.049.693,40;20.049.693,40;20.049.693,40
3.3.90.47.12 ;CONTRIBUIÇÃO PARA O PIS/PASEP;7.780.621,66;532.849,79;8.313.471,45;27.443.347,92;27.443.347,92;27.443.347,92
3.3.90.47.99 ;OUTRAS OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS;0,00;2.000.000,00;2.000.000,00;2.120.000,00;2.120.000,00;2.120.000,00
3.3.90.48.99 ;DEMAIS AUXÍLIOS FINANCEIROS A PESSOAS FÍSICAS;0,00;0,00;0,00;316.549,75;304.106,62;64.922,01
3.3.90.91.13 ;PRECATÓRIOS JUDICIAS;0,00;0,00;0,00;29.282.153,46;29.282.153,46;29.282.153,46
3.3.90.91.14 ;SENTENÇAS JUDICIAIS;0,00;0,00;0,00;42.792,29;42.792,29;42.792,29
3.3.90.91.20 ;DEPÓSITOS JUDICIAIS;0,00;0,00;0,00;5.636,33;5.636,33;5.636,33
3.3.90.92.99 ;OUTRAS DESPESAS DE EXERCÍCIOS ANTERIORES;0,00;0,00;0,00;1.618.916,10;1.597.198,70;1.597.198,70
3.3.90.93.02 ;RESTITUIÇÕES;0,00;0,00;0,00;55.885,25;55.885,25;55.885,25
3.3.90.93.99 ;DIVERSAS INDENIZAÇÕES E RESTITUIÇÕES;0,00;0,00;0,00;125.832,40;94.298,69;94.298,69
3.3.91.93.00 ;INDENIZAÇÕES E RESTITUIÇÕES - INTRA OFSS;0,00;1.270.540,98;1.270.540,98;1.270.540,98;1.270.540,98;1.270.540,98
3.3.91.97.00 ;APORTE PARA COBERTURA DO DÉFICIT ATUARIAL DO RPPS;0,00;2.494.147,80;2.494.147,80;2.494.147,80;2.494.147,80;2.494.147,80
4.4.90.51.91 ;OBRAS EM ANDAMENTO;0,00;0,00;0,00;33.054.446,95;9.733.252,43;9.731.252,43
4.4.90.51.99 ;OUTRAS OBRAS E INSTALAÇÕES;0,00;0,00;0,00;32.016.823,80;25.518.104,88;25.409.661,85
4.4.90.52.08 ;APARELHOS, EQUIPAMENTOS, UTENSÍLIOS MÉDICO-ODONTOLÓGICO, LAB;0,00;0,00;0,00;44.385,00;44.385,00;44.385,00
4.4.90.52.12 ;APARELHOS E UTENSÍLIOS DOMÉSTICOS;0,00;0,00;0,00;486.250,00;0,00;0,00
4.4.90.52.26 ;INSTRUMENTOS MUSICAIS E ARTÍSTICOS;0,00;0,00;0,00;28.033,00;7.405,00;7.405,00
4.4.90.52.33 ;EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;0,00;0,00;0,00;173.853,50;25.459,50;25.459,50
4.4.90.52.34 ;MÁQUINAS, UTENSÍLIOS E EQUIPAMENTOS DIVERSOS;0,00;0,00;0,00;102.267,20;102.267,20;102.267,20
4.4.90.52.35 ;EQUIPAMENTOS DE PROCESSAMENTO DE DADOS;0,00;0,00;0,00;34.178,60;31.690,00;31.690,00
4.4.90.52.36 ;MÁQUINAS, INSTALAÇÕES E UTENSÍLIOS DE ESCRITÓRIO;0,00;0,00;0,00;5.491,20;5.491,20;5.491,20
4.4.90.52.42 ;MOBILIÁRIO EM GERAL;0,00;0,00;0,00;9.252.877,68;9.252.877,68;9.245.378,68
4.4.90.52.48 ;VEÍCULOS DIVERSOS ;0,00;0,00;0,00;18.413,27;4.409,50;4.409,50
4.4.90.52.52 ;VEÍCULOS DE TRAÇÃO MECÂNICA;0,00;0,00;0,00;3.875.621,56;2.087.621,56;2.087.621,56
4.4.90.52.99 ;OUTROS MATERIAIS PERMANENTES;0,00;0,00;0,00;1.163.626,54;734.119,14;734.119,14
4.6.90.71.01 ;AMORTIZAÇÃO DA DÍVIDA CONTRATUAL;0,00;0,00;0,00;66.492.777,83;66.492.777,83;65.792.777,83
4.6.91.71.02 ;AMORTIZAÇÃO DA DÍVIDA CONTRATUAL - INTRA OFSS;0,00;0,00;0,00;28.264.768,04;28.264.768,04;28.264.768,04
;;;;;1.452.546.673,26;1.394.996.903,81;1.361.605.852,96
