nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,tipo_de_rebanho_codigo,tipo_de_rebanho
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,1036,3301009,Campos dos Goytacazes (RJ),1981,1981,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1694,3301009,Campos dos Goytacazes (RJ),1981,1981,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,239102,3301009,Campos dos Goytacazes (RJ),1981,1981,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,47180,3301009,Campos dos Goytacazes (RJ),1981,1981,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,188472,3301009,Campos dos Goytacazes (RJ),1982,1982,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,30,3301009,Campos dos Goytacazes (RJ),1982,1982,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,5982,3301009,Campos dos Goytacazes (RJ),1982,1982,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,12740,3301009,Campos dos Goytacazes (RJ),1982,1982,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,1118,3301009,Campos dos Goytacazes (RJ),1982,1982,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1516,3301009,Campos dos Goytacazes (RJ),1982,1982,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,249556,3301009,Campos dos Goytacazes (RJ),1982,1982,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,52140,3301009,Campos dos Goytacazes (RJ),1982,1982,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
