Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2024,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Consumo de Alimentos Ultraprocessados,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios,Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Taxa de Congestionamento Líquido de Processos,Resposta a Processos Previdenciários,Resposta a Processos Familiares,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Famílias em Situação de Rua,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana do Enem
São João de Meriti,RJ,57.86,35.22,466536.00,19353.74,70.68,63.91,39.00,62.21,85.05,81.50,53.97,68.13,70.54,55.72,61.24,30.91,51.84,50.81,22.46,40.35,459.72,159.77,17.93,4.64,90.49,95.96,93.24,49.31,89.88,57.52,77.01,97.69,80.20,1.98,29.25,1.81,1.75,3.57,8.72,32.55,4.18,9.35,100.00,18.00,86.33,94.98,74.87,3.01,462.48,20.73,2.81,79.58,0.97,1.09,0.00,54.28,0.05,6.00,6.00,679.43,76.75,1721.40,1028.13,3.00,14.24,0.29,0.86,0.00,0.47,51.28,82.28,81.97,35.92,21.49,25.01,532.24
Conceição de Macabu,RJ,57.84,338.26,21769.00,20088.81,67.86,64.91,40.76,63.05,79.11,92.39,36.89,75.08,71.40,52.44,60.71,17.93,49.11,64.33,31.67,60.88,635.68,114.93,23.46,6.51,60.88,80.05,87.19,0.52,94.22,94.85,79.52,97.86,147.91,9.33,40.75,5.92,0.53,2.33,5.88,26.22,4.57,5.35,94.41,33.51,71.97,96.20,73.38,3.27,363.44,21.76,7.58,100.00,2.18,6.49,1.90,46.78,4.27,6.00,0.00,227.25,78.00,1719.16,1122.44,4.00,15.36,0.34,2.99,0.18,0.70,0.00,244.40,41.37,2.01,38.34,47.61,522.54
São Gonçalo,RJ,57.84,248.16,960652.00,21311.83,68.58,64.31,40.63,63.96,82.21,82.84,45.32,67.01,67.27,54.86,68.08,34.53,55.30,45.13,27.56,45.81,890.24,139.25,14.94,5.13,80.58,85.57,87.39,26.62,86.88,72.25,75.19,93.29,102.49,3.11,34.08,17.20,1.83,2.80,8.57,35.77,4.04,11.18,100.00,9.75,82.44,95.34,74.96,2.80,436.62,26.28,4.35,79.54,12.36,1.25,0.11,50.80,7.20,7.00,7.00,112.67,68.44,1604.87,969.90,7.00,13.10,0.29,0.86,0.15,0.94,84.72,360.57,208.37,19.37,29.31,34.60,545.34
Belford Roxo,RJ,57.76,78.98,518263.00,17181.12,67.35,64.90,41.02,56.81,78.06,77.38,57.15,65.40,66.56,55.59,72.06,37.99,57.49,50.42,18.19,19.21,1480.52,149.86,17.61,4.74,79.54,94.25,82.61,46.88,78.33,51.37,73.91,96.98,53.08,2.46,21.49,1.61,2.25,4.65,9.85,36.75,4.02,8.75,100.00,11.49,74.99,96.43,73.50,2.95,420.20,18.26,1.78,100.00,8.40,0.45,0.00,42.92,2.14,9.00,7.00,123.15,69.00,1370.91,1379.95,11.00,15.35,0.29,0.42,0.08,0.88,82.64,159.93,156.73,6.57,18.24,20.25,506.19
São Fidélis,RJ,57.76,1034.83,41197.00,20665.63,75.96,61.75,35.56,68.27,74.19,90.64,70.74,77.14,56.54,54.48,58.87,14.08,56.01,43.79,28.38,71.44,2433.65,133.81,19.49,4.32,78.12,89.86,76.90,51.87,80.29,90.03,83.55,98.98,6.77,1.69,4.62,10.78,0.22,0.68,4.57,25.83,4.78,6.92,85.68,8.09,61.23,85.28,72.21,2.43,405.94,26.50,6.67,69.68,1.29,8.47,6.42,46.88,6.71,3.00,0.00,570.40,68.40,1517.22,899.88,4.00,10.63,0.28,2.58,0.00,0.25,156.25,240.17,286.26,12.74,29.01,37.88,538.75
Santa Maria Madalena,RJ,57.73,810.96,10579.00,22336.18,66.93,60.34,45.91,72.02,49.40,89.17,57.15,76.03,55.21,53.64,56.49,20.79,54.20,71.39,37.28,71.85,1878.52,113.07,18.36,3.66,48.83,67.02,47.39,61.41,82.25,91.30,75.18,98.62,52.83,4.90,21.50,12.22,1.05,1.15,4.03,35.05,4.84,2.93,79.06,2.10,58.97,95.21,72.79,2.87,378.88,22.57,9.77,82.61,0.26,14.53,5.86,47.27,6.07,2.00,2.00,667.75,51.25,583.75,586.30,5.00,12.91,0.30,2.81,0.00,0.40,0.00,34.30,31.38,0.00,46.12,63.05,532.66
Casimiro de Abreu,RJ,57.71,462.92,48563.00,48788.97,71.38,64.68,37.07,71.03,85.60,90.93,37.95,71.75,71.70,57.56,57.70,17.30,56.38,39.30,35.29,56.32,1050.31,126.90,10.01,3.94,89.65,73.84,88.81,17.55,89.33,82.83,87.04,99.39,98.46,10.03,38.17,3.90,0.47,3.65,9.53,32.27,5.03,7.72,98.80,20.98,89.90,94.13,73.64,2.26,330.35,29.11,3.90,90.00,3.32,2.98,5.20,57.44,6.33,5.00,0.00,229.75,56.75,2139.18,1061.17,7.00,13.86,0.29,2.48,0.18,0.79,175.44,563.98,498.94,19.40,42.01,51.58,543.56
Mesquita,RJ,57.60,41.17,178803.00,14755.62,77.41,63.40,31.99,70.79,88.49,83.68,66.70,66.16,65.29,51.93,70.21,12.76,54.06,38.41,22.71,83.05,509.31,207.94,14.89,4.19,92.67,97.61,98.86,45.67,89.81,66.61,77.02,97.25,28.07,0.56,14.48,2.99,1.32,4.27,9.52,36.80,4.28,13.03,100.00,16.65,62.64,95.16,75.31,2.86,533.80,25.08,4.31,87.25,65.99,1.02,0.12,50.43,0.94,3.00,0.00,109.62,64.21,1835.33,926.22,5.00,14.10,0.28,0.38,0.00,0.73,104.35,537.62,247.75,42.33,24.00,27.38,516.84
Trajano de Moraes,RJ,57.17,591.15,10652.00,22886.48,63.49,62.00,46.02,70.60,33.11,79.86,70.37,77.40,50.70,60.59,59.32,12.59,50.05,91.10,30.35,47.54,1886.87,117.64,6.01,3.65,32.23,19.64,30.16,48.26,30.37,85.92,71.07,98.45,16.89,0.00,19.41,13.59,0.20,0.72,5.85,32.57,5.26,3.78,60.38,2.30,58.67,94.47,73.77,2.11,380.98,18.50,4.85,100.00,0.17,9.61,1.94,43.99,9.15,1.00,0.00,246.00,56.50,1009.26,552.36,1.00,13.52,0.29,0.71,0.67,0.42,0.00,4.90,0.00,0.00,36.85,48.41,515.91
Guapimirim,RJ,56.91,358.44,54300.00,25303.34,66.87,62.84,41.02,67.87,65.01,82.57,52.01,69.74,71.42,49.17,61.03,31.62,52.21,44.30,35.96,63.48,997.75,190.89,13.26,3.99,58.41,86.11,74.18,56.66,92.00,71.60,63.63,98.24,74.03,5.02,34.05,17.02,0.75,3.10,9.62,35.40,4.57,8.43,99.13,24.84,81.04,95.21,73.69,2.93,542.28,23.42,7.35,88.00,3.57,2.72,2.51,51.43,8.61,4.00,8.00,539.60,72.60,1447.36,919.22,5.00,14.72,0.30,1.05,0.00,0.63,93.02,310.23,209.94,19.94,48.93,57.66,534.18
Magé,RJ,56.88,390.77,244092.00,19667.32,64.86,63.81,41.97,68.39,53.57,83.29,54.17,68.86,69.48,47.69,69.22,42.48,58.02,38.54,28.84,78.10,669.87,205.26,18.45,4.23,38.00,74.40,58.28,42.73,91.96,72.99,65.43,98.12,63.00,4.25,28.76,4.56,0.55,4.25,9.73,34.63,4.39,8.93,99.83,13.18,88.80,94.84,74.91,3.34,585.19,23.68,5.35,86.93,13.31,1.25,0.13,50.06,4.94,6.00,12.00,221.73,68.27,1963.77,972.66,7.00,14.86,0.30,9.76,0.12,0.51,141.51,573.57,418.30,27.12,33.43,41.26,528.90
Duque de Caxias,RJ,56.83,467.32,866347.00,61781.90,64.59,62.13,43.76,61.72,75.06,81.84,39.75,64.68,70.46,51.46,61.90,36.37,57.29,46.84,34.53,45.56,708.42,203.37,18.69,4.01,67.68,91.32,83.50,39.60,91.35,58.72,75.90,97.93,118.04,5.47,47.66,6.61,1.67,4.93,10.55,39.42,4.07,10.35,99.98,14.70,90.14,95.65,75.00,3.36,527.95,21.22,3.98,79.73,6.30,6.09,0.07,49.35,4.12,7.00,8.00,158.08,71.30,1942.11,886.06,10.00,14.55,0.30,1.34,0.41,0.70,62.87,357.42,212.13,20.17,45.49,49.85,536.04
Tanguá,RJ,56.69,143.01,32858.00,21292.20,67.09,62.62,40.35,70.08,47.27,83.93,67.10,64.60,70.21,53.00,62.69,33.22,50.07,41.21,36.90,67.51,699.47,148.91,18.96,3.76,44.66,40.32,50.97,48.05,95.53,68.94,68.64,99.37,15.21,6.27,13.51,6.43,0.70,5.15,10.52,41.52,4.38,15.12,99.40,22.56,78.24,95.22,72.55,3.00,436.61,20.88,5.79,78.44,5.54,4.70,0.97,47.33,9.34,5.00,7.00,107.64,70.82,848.09,526.88,3.00,14.93,0.30,0.07,0.00,0.46,107.53,445.11,614.39,7.76,51.46,63.43,511.51
Mangaratiba,RJ,56.57,367.61,43624.00,74164.38,69.51,62.49,37.73,71.05,64.65,81.55,60.78,66.45,77.07,50.64,55.81,21.05,52.42,31.64,45.80,75.77,1080.48,168.49,16.02,3.87,38.94,71.88,86.22,29.52,53.05,77.70,75.24,98.02,40.02,6.36,25.72,28.14,0.55,5.13,12.00,40.18,4.88,11.88,96.35,39.98,90.40,93.95,75.71,2.79,483.88,29.81,6.79,100.00,1.80,2.62,0.00,60.94,5.27,2.00,6.00,537.25,69.50,2940.83,1517.01,6.00,13.27,0.32,0.95,0.15,0.62,117.65,2082.72,1252.45,43.73,68.47,79.84,509.26
Paraty,RJ,56.55,924.30,47614.00,41365.50,59.42,64.60,45.63,67.75,55.21,82.33,32.41,70.33,72.94,57.97,57.16,51.04,55.16,32.77,43.54,57.87,1175.55,166.39,15.42,3.69,53.99,6.27,79.33,41.61,72.73,76.87,69.40,97.28,105.46,9.61,51.70,18.12,0.73,2.37,9.43,29.35,4.76,13.03,90.68,29.93,89.71,95.65,75.52,2.47,421.79,23.47,6.63,85.10,4.61,2.65,0.44,61.30,4.53,11.00,12.00,250.00,73.50,2324.96,1352.40,10.00,13.28,0.33,1.26,0.00,0.82,15.96,825.69,372.46,94.76,56.47,69.37,559.66
Itaboraí,RJ,56.44,429.96,240040.00,23670.70,61.98,64.71,42.64,69.84,47.69,80.36,50.03,67.73,69.02,50.66,71.44,35.09,55.37,49.56,30.55,63.85,599.25,166.53,14.78,3.74,23.69,70.76,55.68,40.03,88.10,64.24,65.75,97.53,90.46,2.57,38.88,18.19,1.10,3.55,9.50,36.00,4.34,10.92,99.79,10.25,90.19,95.51,73.75,3.26,461.25,23.60,5.71,85.17,12.61,1.68,1.07,43.26,6.95,2.00,11.00,107.64,70.82,848.09,526.88,8.00,13.27,0.30,0.52,0.00,0.92,19.84,297.64,246.43,9.00,38.76,45.40,531.26
Sumidouro,RJ,55.80,413.41,15690.00,38528.23,64.48,62.84,40.09,72.28,36.40,79.98,69.26,74.12,66.78,53.07,57.38,13.45,55.51,62.98,28.41,55.34,1472.51,125.36,13.45,2.56,23.72,32.01,29.35,22.96,55.98,76.44,68.13,98.01,15.69,6.70,8.22,14.80,0.18,3.57,9.00,27.45,5.02,4.92,93.03,16.35,76.98,96.12,72.78,2.47,514.71,19.05,8.22,87.35,0.77,5.05,3.95,51.84,10.17,1.00,2.00,145.25,63.25,2632.76,578.76,7.00,16.05,0.31,7.62,0.36,0.00,0.00,107.17,223.98,2.27,34.23,43.39,534.21
Carapebus,RJ,54.84,304.88,14325.00,51104.67,63.63,63.27,37.62,70.83,40.55,87.84,55.30,73.44,65.65,55.46,58.51,14.69,51.74,42.80,41.25,66.87,270.52,102.90,10.61,6.03,25.31,83.49,25.37,41.13,82.09,85.44,75.51,98.98,85.68,7.25,26.00,8.67,0.38,1.17,7.60,28.58,4.67,9.33,99.45,5.59,81.03,95.66,73.30,2.60,313.46,25.65,10.83,90.94,1.77,7.34,0.00,50.64,1.67,4.00,0.00,446.00,69.20,2418.67,966.22,4.00,16.17,0.29,1.15,0.22,0.81,312.50,344.88,468.33,0.75,59.53,75.73,497.59
Japeri,RJ,52.87,81.70,102149.00,15089.48,63.88,61.37,33.36,58.29,68.79,73.64,54.81,67.15,62.32,49.67,66.33,21.93,45.56,39.62,26.34,34.96,572.42,184.47,18.85,5.05,68.69,75.99,75.75,49.45,85.87,36.14,70.86,96.71,56.47,3.20,27.21,7.06,1.30,4.73,9.23,38.77,4.03,6.57,100.00,3.37,70.85,92.99,73.51,3.27,467.30,24.70,2.70,96.13,7.53,0.68,0.93,52.06,2.57,6.00,2.00,10080.17,65.50,3345.31,1377.67,3.00,17.26,0.34,0.06,0.00,0.83,300.00,443.22,382.49,13.20,31.75,42.74,492.94
São Francisco de Itabapoana,RJ,50.75,1118.04,47368.00,25189.54,51.28,58.67,42.31,69.52,32.20,87.62,15.76,65.73,59.38,49.08,60.47,26.11,50.81,69.81,22.49,58.62,917.32,136.55,19.01,3.31,19.68,3.44,53.82,56.04,86.36,76.00,82.25,99.29,166.88,18.54,62.14,21.75,3.15,3.80,9.75,35.53,4.51,10.53,78.08,10.70,74.76,89.28,72.44,3.83,390.98,20.15,8.88,83.33,5.95,6.02,5.10,50.30,9.18,8.00,0.00,133.80,56.60,1458.42,440.08,5.00,17.06,0.31,1.69,0.15,0.95,0.00,51.21,44.53,3.45,22.40,30.56,513.77
