Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2024,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Consumo de Alimentos Ultraprocessados,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios,Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Taxa de Congestionamento Líquido de Processos,Resposta a Processos Previdenciários,Resposta a Processos Familiares,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Famílias em Situação de Rua,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana do Enem
Paraíba do Sul,RJ,62.99,571.12,44467.00,28384.63,78.35,64.35,46.28,74.27,86.60,84.37,68.15,73.69,68.79,54.75,60.19,36.40,57.87,55.32,35.54,76.74,1501.07,137.22,16.19,3.05,89.19,92.19,92.22,33.13,77.85,80.82,68.81,98.52,18.61,1.12,10.94,6.18,0.32,1.98,7.18,35.98,4.92,6.10,94.95,22.33,81.51,91.31,73.70,2.44,512.31,22.55,5.35,72.88,3.57,4.06,5.71,51.37,5.15,7.00,8.00,105.80,68.20,2284.03,756.71,7.00,14.16,0.28,4.20,0.15,0.26,0.00,214.58,275.21,28.21,47.04,56.30,515.30
Porto Real,RJ,62.95,50.89,21064.00,203035.32,76.73,65.94,46.19,74.13,95.09,95.31,42.39,71.73,74.50,51.84,65.70,7.54,59.30,44.25,73.67,92.06,1060.75,159.69,10.70,5.14,98.75,97.27,94.21,12.37,99.74,91.98,90.69,98.83,107.91,7.13,41.23,14.73,0.07,3.75,8.12,32.67,5.04,11.53,100.00,29.67,86.59,96.16,74.01,2.83,500.60,25.15,4.91,80.63,10.00,2.64,0.49,50.85,1.50,1.00,0.00,238.20,67.40,2305.78,1353.10,3.00,11.57,0.27,11.53,0.18,0.93,147.06,418.49,227.78,11.71,137.23,121.26,548.40
Quatis,RJ,62.94,284.83,14158.00,21700.92,76.12,63.92,48.77,71.00,87.21,88.56,57.72,65.92,70.91,61.77,57.09,37.55,54.25,57.33,45.93,70.89,1547.87,129.84,17.80,3.87,82.66,91.31,99.05,28.20,86.54,86.27,79.07,96.59,61.53,3.51,20.10,5.85,0.18,5.53,13.33,33.72,4.98,16.23,95.02,23.36,84.16,96.22,73.38,1.83,391.44,20.12,5.85,79.38,2.70,7.14,3.65,52.86,8.18,9.00,7.00,238.20,67.40,2305.78,1353.10,5.00,14.63,0.29,2.16,0.22,0.57,0.00,289.04,315.32,8.27,62.31,81.73,499.26
Rio das Flores,RJ,62.87,478.78,9264.00,32009.94,80.08,63.25,45.27,67.10,84.63,92.57,76.04,73.57,60.36,61.02,58.06,32.96,56.03,34.81,57.28,68.09,1717.73,152.53,20.67,4.25,92.89,89.21,70.76,11.20,88.41,90.91,89.32,97.14,12.75,0.00,5.58,8.38,0.12,1.70,7.68,35.95,5.03,7.68,86.97,11.07,60.94,95.79,74.32,1.66,445.17,19.32,5.58,100.00,1.29,8.49,15.64,47.93,4.72,7.00,5.00,142.50,60.50,1472.37,574.84,7.00,14.88,0.27,0.17,0.00,0.00,8000.00,988.99,189.10,1.26,91.12,107.64,508.61
Pinheiral,RJ,62.30,82.25,25085.00,58331.73,77.61,65.59,43.71,77.23,83.07,94.30,55.84,75.87,69.58,53.43,63.49,17.03,60.63,56.64,40.53,88.49,867.96,165.21,13.21,2.96,92.22,98.91,87.59,56.40,97.63,93.31,85.64,99.06,64.14,5.95,24.69,9.05,0.55,0.83,5.40,25.93,4.54,6.02,100.00,12.58,88.01,96.45,73.03,2.64,451.80,22.82,7.41,82.22,1.90,1.42,0.82,48.80,4.71,0.00,4.00,811.50,57.00,1698.94,865.92,4.00,11.92,0.29,15.50,0.22,0.78,0.00,368.31,307.21,8.72,50.65,64.36,573.73
Natividade,RJ,62.20,387.07,15550.00,21005.35,79.37,64.03,43.19,70.34,78.16,95.41,73.57,80.34,62.34,58.54,54.91,12.32,55.26,55.77,49.40,84.98,1469.63,139.10,14.45,5.89,87.45,95.83,79.67,57.90,91.45,97.40,89.27,99.17,22.17,0.00,11.61,14.59,0.10,0.08,4.30,20.37,4.88,2.37,85.40,16.02,64.82,95.81,73.36,2.47,445.12,18.77,9.29,50.00,0.18,8.29,13.93,52.81,6.87,3.00,0.00,94.80,70.00,2203.60,765.16,7.00,16.81,0.27,0.14,0.18,0.63,0.00,510.11,307.69,3.83,72.76,80.66,522.02
Campos dos Goytacazes,RJ,62.19,4032.49,519011.00,72158.92,71.24,64.86,50.45,66.39,75.06,88.99,54.53,66.17,70.63,58.59,64.06,44.62,59.15,50.67,47.37,64.38,882.81,160.01,19.17,4.70,68.37,70.54,95.50,43.64,94.69,80.96,78.82,98.64,63.95,4.03,27.88,23.20,2.93,2.47,7.93,39.52,4.09,9.87,97.83,18.20,87.26,96.32,74.82,2.79,500.62,12.27,6.49,76.47,4.89,3.15,2.59,46.95,4.57,11.00,7.00,121.50,64.76,1317.58,602.56,11.00,14.95,0.29,3.05,0.08,0.62,20.66,184.29,97.65,31.61,64.26,77.85,558.54
Cabo Frio,RJ,62.05,413.45,238166.00,52273.84,69.62,64.98,51.55,71.10,79.55,85.69,42.12,68.17,76.09,55.39,60.29,56.20,58.41,51.89,39.70,66.44,501.64,121.22,14.80,4.63,76.46,92.90,85.14,35.88,84.44,73.28,78.60,98.92,115.45,3.98,41.89,6.48,2.18,3.27,8.40,32.40,4.33,9.97,99.96,32.87,90.51,95.36,75.16,2.68,391.42,29.68,3.24,87.54,6.04,1.69,0.36,58.31,6.64,16.00,12.00,118.10,69.73,1677.26,1042.68,10.00,13.49,0.30,2.81,0.00,0.30,39.89,121.02,25.69,43.36,49.22,57.54,564.12
Sapucaia,RJ,61.98,540.67,18289.00,55108.49,78.01,62.83,45.10,77.85,72.39,88.47,73.31,75.55,66.05,52.12,57.59,19.38,54.58,66.25,40.21,92.13,440.93,164.97,14.75,3.04,63.96,80.00,83.60,37.48,68.07,87.56,85.56,98.02,21.26,0.00,9.02,33.84,0.15,0.47,7.62,28.50,4.80,5.67,87.99,23.25,69.89,95.18,73.26,2.70,478.80,22.95,8.46,83.34,0.95,11.88,5.64,46.49,9.16,6.00,0.00,152.50,70.00,1467.71,821.00,6.00,14.07,0.29,2.03,0.55,0.00,0.00,59.91,145.53,9.15,52.34,62.19,536.28
Italva,RJ,61.88,291.19,14517.00,29057.17,75.44,66.40,43.81,74.37,75.37,92.07,59.95,77.70,62.18,65.36,60.35,30.12,51.67,69.00,24.46,84.18,437.61,133.83,11.28,5.16,87.36,91.41,72.61,57.09,89.50,93.60,85.17,96.10,27.87,9.20,17.05,23.09,1.57,0.20,4.80,29.72,5.38,3.15,91.04,9.57,70.18,93.57,72.52,2.19,388.86,17.89,7.11,0.00,6.16,6.92,7.11,50.84,3.80,6.00,5.00,774.00,65.60,1685.71,945.01,4.00,14.66,0.29,0.00,0.00,0.70,,32.20,79.55,2.72,27.25,34.60,530.61
São José de Ubá,RJ,61.84,249.69,7315.00,27108.56,73.60,61.87,50.05,72.31,60.28,89.28,72.53,77.08,56.75,54.55,59.10,17.16,64.79,69.59,48.67,78.80,235.46,145.97,25.46,3.21,54.42,87.14,50.05,34.07,61.29,93.53,84.96,98.83,30.17,0.00,14.14,19.80,0.22,0.55,5.18,32.08,5.34,7.13,87.12,7.61,63.54,83.51,72.88,2.64,462.52,18.99,7.07,83.75,1.11,13.61,18.39,42.86,2.88,1.00,3.00,4110.25,63.00,1284.01,898.13,5.00,12.62,0.27,20.96,0.44,0.57,,38.86,125.79,0.00,71.30,92.76,522.92
São José do Vale do Rio Preto,RJ,61.80,220.18,22799.00,32631.24,80.56,64.52,40.33,77.67,72.03,89.87,82.68,72.71,68.48,57.55,59.35,11.70,54.60,59.39,35.61,94.43,1019.41,142.28,16.92,3.28,61.64,90.19,73.38,26.15,92.70,85.19,86.19,94.30,0.00,0.00,5.66,17.21,1.18,4.23,10.62,25.00,5.11,3.87,90.69,29.89,67.60,96.02,73.33,2.34,432.79,18.82,8.15,81.59,5.57,2.94,0.00,56.35,10.12,0.00,0.00,2413.75,51.25,1184.71,562.55,5.00,12.69,0.28,0.41,0.22,0.31,0.00,207.27,290.70,2.33,44.67,54.64,549.46
