Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2022,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios,Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Taxa de Congestionamento Líquido de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Trabalho Infantil,Praças e Parques em Áreas Urbanas,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Média no Enem
Santa Maria Madalena,RJ,58.92,810.96,10232.00,23093.67,64.78,61.14,50.84,65.26,48.21,89.14,56.50,72.59,54.53,52.83,64.63,39.20,48.66,79.10,36.41,50.46,1637.76,95.84,18.17,4.43,47.78,67.76,41.20,56.46,82.59,91.73,74.57,98.40,51.87,19.60,19.55,11.73,0.50,3.50,1.80,35.90,4.80,2.00,80.00,2.29,56.99,93.84,72.79,3.43,412.72,23.39,19.55,0.26,15.95,4.89,47.27,2.26,2.00,4.00,195.70,54.84,5.00,13.13,0.00,2.81,0.00,0.80,0.00,23.52,10.46,47.73,71.25,552.58
Varre-Sai,RJ,58.85,201.94,10207.00,26068.61,71.75,64.41,40.39,66.11,44.89,93.57,82.43,71.62,61.80,57.40,66.81,27.40,34.59,67.66,31.90,86.18,776.23,201.97,22.35,4.72,40.22,78.98,30.04,51.54,70.01,95.85,96.19,98.61,0.00,0.00,3.92,39.19,0.22,1.20,4.90,25.90,4.45,10.10,92.07,3.36,73.33,95.83,73.58,1.91,558.22,22.32,7.84,0.20,4.85,0.00,52.84,2.29,6.00,0.00,110.84,70.71,2.00,13.41,18.22,0.38,0.00,0.44,0.00,20.07,139.01,40.86,57.61,550.55
Vassouras,RJ,58.65,536.07,33976.00,39172.28,72.09,66.90,36.95,65.01,71.29,87.41,64.65,71.82,74.08,49.74,71.96,13.01,52.60,22.91,59.29,74.19,1022.49,185.50,20.00,4.57,77.66,87.23,67.42,48.38,92.98,79.33,79.28,95.83,48.03,3.09,14.72,17.66,0.10,1.00,6.20,31.90,5.30,14.20,95.57,34.87,83.58,94.04,73.79,2.29,655.02,31.03,2.94,6.57,4.46,5.89,47.09,1.67,1.00,0.00,82.88,79.47,7.00,9.11,1.61,3.07,0.00,0.26,454.55,2353.07,2278.13,106.70,120.00,539.36
Nova Iguaçu,RJ,58.63,520.58,785867.00,22808.56,68.83,68.26,38.81,57.91,82.42,82.27,52.72,66.83,72.39,58.59,75.24,45.45,48.83,33.67,27.28,19.14,582.51,195.09,18.35,6.33,77.12,92.85,77.15,7.90,90.86,65.42,72.07,96.84,59.08,2.67,26.59,12.22,1.30,6.10,6.00,33.90,4.55,8.20,100.00,18.80,91.75,95.57,74.08,2.80,521.43,18.65,3.69,35.68,0.76,0.06,47.22,1.36,7.00,8.00,135.63,69.52,8.00,12.23,0.04,0.43,0.00,0.41,53.29,705.47,191.23,34.00,43.52,548.34
Itaguaí,RJ,58.17,282.61,116841.00,90545.43,71.59,65.27,37.64,70.93,80.13,87.08,48.20,68.49,73.56,52.22,66.83,33.30,48.92,29.02,39.32,76.64,465.04,177.97,12.26,4.44,90.62,95.75,71.76,39.82,96.07,64.14,87.39,99.34,63.30,1.67,35.95,17.12,1.10,5.90,6.40,34.00,4.90,6.70,98.60,23.69,91.72,95.66,73.84,3.50,479.41,27.04,6.85,2.93,1.50,0.94,54.70,2.65,11.00,0.00,88.54,75.31,7.00,12.51,2.11,2.58,0.00,0.56,58.48,494.69,423.49,66.02,70.22,534.80
Iguaba Grande,RJ,58.15,50.98,27920.00,22780.02,75.39,69.52,29.54,70.55,78.10,90.26,62.64,72.10,80.70,53.94,71.35,24.42,39.25,24.00,30.51,73.42,112.46,194.96,18.18,4.56,89.12,33.98,97.69,36.67,89.22,87.24,88.73,93.57,17.74,6.79,10.74,17.91,0.30,3.80,6.80,30.30,5.40,9.10,100.00,46.97,91.57,94.53,75.44,2.68,551.23,30.00,3.58,6.14,1.11,0.00,49.14,0.66,6.00,5.00,51.18,91.48,3.00,11.21,1.84,0.78,0.00,0.60,588.24,746.17,611.05,41.33,51.51,546.61
São Sebastião do Alto,RJ,58.15,397.21,7750.00,31361.34,67.14,64.01,43.29,61.91,56.95,85.19,64.50,74.88,58.25,51.03,71.88,22.82,39.93,77.06,33.37,51.52,2134.66,115.11,14.71,4.12,53.27,66.62,50.85,34.48,66.97,83.80,75.78,98.08,29.18,4.35,12.90,25.81,0.20,1.20,3.30,30.40,5.25,6.10,73.81,18.90,55.54,95.78,72.35,2.59,464.17,26.40,25.81,0.00,11.29,6.45,41.90,1.82,2.00,4.00,69.16,70.15,4.00,13.24,3.33,1.07,0.66,0.23,,50.89,94.72,52.31,71.45,491.89
Cantagalo,RJ,58.09,747.21,19390.00,43711.37,71.31,67.71,35.26,60.31,72.89,85.34,66.72,75.92,72.61,62.43,59.87,28.47,41.25,34.44,36.87,50.24,1854.88,144.00,5.75,5.42,76.89,76.71,70.71,34.53,90.28,81.97,68.45,96.04,10.71,1.98,7.22,25.79,0.40,1.20,4.00,24.80,5.30,4.80,84.72,42.79,77.13,94.62,74.29,2.07,395.09,23.66,5.16,1.45,108.65,7.22,38.55,2.37,4.00,0.00,135.83,61.96,6.00,16.67,8.58,1.15,0.18,0.00,0.00,533.31,804.23,55.26,67.51,544.20
São Gonçalo,RJ,57.92,248.16,896744.00,22830.66,69.97,65.89,37.91,65.38,80.76,82.77,50.96,66.74,68.13,56.43,72.28,47.68,47.93,30.19,25.83,32.95,684.20,124.31,15.88,5.69,81.27,85.65,90.08,39.54,86.89,71.46,75.16,93.59,64.13,3.37,28.88,20.30,1.60,4.40,6.00,34.20,4.80,12.50,100.00,12.34,81.82,95.07,74.96,2.43,451.55,31.33,4.46,12.36,0.92,0.03,50.80,3.71,8.00,5.00,250.96,78.79,7.00,11.38,0.47,0.86,0.07,0.76,60.51,449.82,258.66,31.31,38.68,550.64
Armação dos Búzios,RJ,57.90,70.98,40006.00,74789.19,66.19,70.15,37.37,58.15,76.60,90.53,39.49,63.31,91.02,54.30,71.97,24.41,45.87,25.18,54.01,39.20,1565.89,197.69,10.82,4.59,89.51,11.01,97.69,25.70,86.07,80.74,89.11,99.57,88.04,9.89,39.99,20.00,0.70,8.40,10.00,37.30,4.90,18.00,100.00,80.14,91.56,95.42,74.44,2.87,418.81,30.36,12.50,12.00,1.75,0.50,50.04,6.00,4.00,7.00,60.49,93.52,3.00,11.90,0.00,3.18,0.00,0.97,95.24,627.78,547.17,90.37,106.89,557.30
São João de Meriti,RJ,57.88,35.22,440962.00,20476.18,72.25,66.62,34.77,65.31,86.17,80.76,56.75,66.87,72.08,60.61,66.91,26.04,37.55,55.36,20.13,33.35,416.79,161.41,19.99,5.03,89.96,95.57,100.00,51.65,89.42,56.75,74.89,97.55,69.83,0.43,25.40,3.40,1.40,5.40,6.30,30.40,4.45,9.70,100.00,22.55,85.04,95.63,74.87,2.64,441.53,22.88,2.49,0.97,1.04,0.00,54.28,0.04,2.00,6.00,85.90,76.66,3.00,13.18,0.21,0.86,0.09,0.61,42.74,130.38,113.38,20.80,25.39,542.80
Cachoeiras de Macacu,RJ,57.84,954.75,56943.00,23094.05,73.44,65.92,34.17,67.43,79.88,87.21,59.24,69.44,64.60,59.27,70.38,42.02,43.83,25.06,25.78,75.56,891.84,184.54,16.39,4.19,76.97,78.91,83.83,20.16,87.40,86.77,68.59,98.60,47.74,3.44,26.34,28.10,1.20,3.20,5.70,36.50,5.00,6.60,97.46,6.91,76.40,94.74,74.01,2.42,446.51,24.27,3.51,2.45,2.67,2.11,46.78,3.15,2.00,8.00,189.40,67.02,5.00,13.93,0.82,3.09,0.13,0.63,227.27,783.61,472.98,30.69,40.10,547.86
Belford Roxo,RJ,57.78,78.98,483087.00,18432.16,71.11,67.14,35.09,59.07,84.59,77.67,63.10,64.43,66.11,62.81,75.21,25.36,54.03,43.42,17.53,7.91,1358.40,140.46,17.90,4.57,79.86,94.81,100.00,40.20,78.21,51.14,74.66,97.26,50.22,1.59,20.91,1.66,1.90,6.90,6.70,35.50,4.45,9.30,100.00,13.08,70.74,95.86,73.50,2.54,392.89,18.91,2.48,8.40,0.60,0.00,42.92,1.10,11.00,1.00,29.00,89.56,11.00,13.69,0.95,0.42,0.15,0.72,165.29,249.06,196.70,19.64,23.39,514.83
Casimiro de Abreu,RJ,57.62,462.92,46110.00,51384.49,71.29,67.63,33.95,66.50,85.35,91.55,41.75,72.45,72.80,59.80,65.47,28.25,49.27,26.14,32.13,46.92,1018.23,132.43,14.11,4.67,89.96,75.69,82.72,10.88,89.33,84.01,88.10,99.51,90.23,8.36,45.54,2.17,0.40,5.70,7.30,29.30,5.70,8.10,99.06,26.18,86.75,93.35,73.64,2.65,291.62,29.61,4.34,3.32,3.25,0.22,57.44,3.52,3.00,7.00,111.56,90.68,7.00,11.99,0.51,2.48,0.21,0.77,350.88,547.27,620.16,43.05,55.33,553.11
Silva Jardim,RJ,57.61,937.75,21352.00,28430.28,64.66,65.15,43.03,68.24,67.51,78.74,44.14,66.05,65.19,59.30,70.05,46.19,40.45,48.56,36.91,77.49,991.96,170.50,30.43,3.00,42.46,70.03,80.74,8.22,92.34,60.97,56.12,99.65,63.69,18.50,28.10,18.73,0.90,8.20,5.80,36.50,4.70,10.90,87.85,19.20,72.90,94.42,72.60,2.55,468.92,18.27,4.68,3.49,7.79,3.75,46.89,5.72,4.00,12.00,157.17,78.71,4.00,14.78,0.81,2.73,0.22,0.33,0.00,314.52,235.48,54.90,70.09,538.48
Maricá,RJ,57.60,361.57,197277.00,438169.38,63.21,68.74,40.86,63.41,33.16,91.75,64.53,70.46,72.45,58.11,73.93,46.90,58.13,23.73,34.69,31.34,834.98,167.70,13.60,4.77,18.10,45.59,36.75,54.60,93.66,84.57,86.54,99.07,50.89,2.93,17.23,14.19,0.44,6.80,8.50,26.60,5.50,12.10,99.86,20.35,91.47,94.23,75.99,2.10,421.77,33.80,6.59,12.66,1.45,0.00,47.54,4.07,10.00,5.00,146.54,70.04,11.00,10.97,0.27,1.79,0.00,0.52,171.43,460.75,549.82,49.53,62.35,547.41
Barra do Piraí,RJ,57.46,584.61,92883.00,29431.89,72.80,68.68,30.90,66.62,70.86,87.09,66.64,70.91,75.49,60.86,67.45,20.59,43.09,27.48,32.46,62.21,1266.57,125.38,12.51,4.99,82.88,89.46,74.88,74.73,90.64,84.63,69.67,97.98,24.50,4.19,11.84,4.31,0.50,4.80,5.10,34.30,5.20,8.10,99.74,37.42,80.58,95.29,74.14,2.22,433.49,23.37,4.31,5.01,5.25,1.83,54.81,3.05,1.00,0.00,125.53,66.75,5.00,11.72,0.18,0.72,0.34,0.89,99.21,397.37,479.42,41.71,53.28,568.56
Laje do Muriaé,RJ,57.46,253.53,7336.00,25287.54,66.17,61.58,44.61,66.29,74.94,96.95,26.52,75.73,52.03,46.30,72.27,27.41,40.07,75.19,35.79,100.00,876.95,135.45,35.71,6.32,89.42,69.94,75.29,49.01,94.52,98.89,94.15,98.15,133.78,26.80,54.53,13.63,0.30,1.80,3.90,23.20,5.10,4.20,91.18,16.85,8.27,98.30,72.97,3.43,532.62,29.55,19.08,3.40,7.11,1.36,44.54,1.51,8.00,0.00,74.35,71.40,2.00,7.14,4.33,0.16,0.22,0.68,0.00,80.39,84.80,55.29,74.15,508.93
Sumidouro,RJ,57.33,413.41,15206.00,39754.57,65.60,68.09,38.28,62.12,34.19,80.58,85.52,73.47,73.05,58.74,67.09,22.27,50.00,53.48,27.38,31.98,1432.30,151.55,24.04,3.29,22.90,32.53,28.18,33.02,60.81,74.51,69.87,97.95,0.00,0.00,2.63,13.15,0.24,1.90,9.20,26.30,5.45,6.50,93.86,39.96,71.51,96.07,72.78,2.45,422.27,22.58,6.58,0.77,6.37,3.95,51.84,3.21,2.00,2.00,97.45,69.82,7.00,17.79,1.14,7.62,0.00,0.00,0.00,174.15,329.38,34.88,48.36,532.57
Angra dos Reis,RJ,56.80,813.42,167434.00,67345.71,65.80,65.58,39.03,70.05,80.28,84.52,28.35,68.25,74.17,56.63,63.27,36.57,49.93,32.66,36.94,47.28,575.72,119.89,16.47,4.63,87.39,65.25,86.34,30.20,65.29,80.76,76.33,98.62,128.95,7.00,56.74,17.92,0.70,6.00,5.20,35.70,5.05,12.80,98.36,26.36,91.50,95.24,75.75,2.45,461.14,32.21,4.18,2.68,1.36,0.18,62.22,1.73,4.00,6.00,160.30,78.02,7.00,10.56,0.55,1.93,0.56,0.39,55.35,545.70,233.64,56.34,62.58,555.94
