nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,produto_das_lavouras_permanentes_codigo,produto_das_lavouras_permanentes
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2719,Azeitona
6,Município,1017,Toneladas,660,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2720,Banana (cacho)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2721,Borracha (látex coagulado)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,40472,Borracha (látex líquido)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2722,Cacau (em amêndoa)
6,Município,1017,Toneladas,165,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2723,Café (em grão) Total
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,31619,Café (em grão) Arábica
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,31620,Café (em grão) Canephora
6,Município,1017,Toneladas,3750,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,40473,Caju
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2724,Caqui
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2725,Castanha de caju
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2726,Chá-da-índia (folha verde)
6,Município,1017,Toneladas,192,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2727,Coco-da-baía*
