nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,sexo_codigo,sexo,cor_ou_raca_codigo,cor_ou_raca,idade_codigo,idade
6,Município,2,%,93.55,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6606,53 anos
6,Município,2,%,93.11,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6607,54 anos
6,Município,2,%,92.36,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,9484,55 a 64 anos
6,Município,2,%,93.15,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6608,55 anos
6,Município,2,%,93.02,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6609,56 anos
6,Município,2,%,93,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6610,57 anos
6,Município,2,%,93.36,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6611,58 anos
6,Município,2,%,92.06,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6612,59 anos
6,Município,2,%,91.8,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6613,60 anos
6,Município,2,%,91.85,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6614,61 anos
6,Município,2,%,91.65,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6615,62 anos
6,Município,2,%,91.94,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6616,63 anos
6,Município,2,%,91.39,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6617,64 anos
6,Município,2,%,86.62,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,3000,65 anos ou mais
6,Município,2,%,83.21,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,9486,75 anos ou mais
6,Município,2,%,82.16,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,113623,80 anos ou mais
6,Município,2,%,96.28,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,100362,Total
6,Município,2,%,98.79,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,93086,15 a 19 anos
6,Município,2,%,98.38,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6572,15 anos
6,Município,2,%,98.88,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6573,16 anos
6,Município,2,%,99,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6574,17 anos
6,Município,2,%,98.73,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6575,18 anos
6,Município,2,%,98.93,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6576,19 anos
6,Município,2,%,99.01,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,93087,20 a 24 anos
6,Município,2,%,98.78,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6577,20 anos
6,Município,2,%,99.08,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6578,21 anos
6,Município,2,%,98.87,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6579,22 anos
6,Município,2,%,99.06,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6580,23 anos
6,Município,2,%,99.26,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6581,24 anos
6,Município,2,%,98.94,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,2999,25 a 34 anos
6,Município,2,%,99.23,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6582,25 anos
6,Município,2,%,98.97,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6656,26 anos
6,Município,2,%,99.11,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6657,27 anos
6,Município,2,%,99.09,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6658,28 anos
6,Município,2,%,98.67,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6659,29 anos
6,Município,2,%,98.74,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6583,30 anos
6,Município,2,%,98.75,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6584,31 anos
6,Município,2,%,98.98,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6585,32 anos
6,Município,2,%,99.04,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6586,33 anos
6,Município,2,%,98.77,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6587,34 anos
6,Município,2,%,98.17,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,9482,35 a 44 anos
6,Município,2,%,98.42,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6588,35 anos
6,Município,2,%,98.55,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6589,36 anos
6,Município,2,%,98.67,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6590,37 anos
6,Município,2,%,98.42,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6591,38 anos
6,Município,2,%,98.39,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6592,39 anos
6,Município,2,%,98.04,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6593,40 anos
6,Município,2,%,98.49,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6594,41 anos
6,Município,2,%,97.96,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6595,42 anos
6,Município,2,%,97.08,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6596,43 anos
6,Município,2,%,97.58,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6597,44 anos
6,Município,2,%,96.38,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,9483,45 a 54 anos
6,Município,2,%,97.08,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6598,45 anos
6,Município,2,%,96.87,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6599,46 anos
6,Município,2,%,97.37,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6600,47 anos
6,Município,2,%,96.7,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6601,48 anos
6,Município,2,%,96.73,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6602,49 anos
6,Município,2,%,95.99,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6603,50 anos
6,Município,2,%,96.11,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6604,51 anos
6,Município,2,%,95.33,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6605,52 anos
6,Município,2,%,95.92,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6606,53 anos
6,Município,2,%,95.57,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6607,54 anos
6,Município,2,%,94.72,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,9484,55 a 64 anos
6,Município,2,%,95.1,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6608,55 anos
6,Município,2,%,94.84,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6609,56 anos
6,Município,2,%,95.75,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6610,57 anos
6,Município,2,%,96.1,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6611,58 anos
6,Município,2,%,94.81,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6612,59 anos
6,Município,2,%,93.95,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6613,60 anos
6,Município,2,%,94.41,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6614,61 anos
6,Município,2,%,93.86,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6615,62 anos
6,Município,2,%,94.26,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6616,63 anos
6,Município,2,%,93.88,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,6617,64 anos
6,Município,2,%,90.57,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,3000,65 anos ou mais
6,Município,2,%,88.24,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,9486,75 anos ou mais
6,Município,2,%,87.86,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2776,Branca,113623,80 anos ou mais
6,Município,2,%,93.3,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,100362,Total
6,Município,2,%,98.18,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,93086,15 a 19 anos
6,Município,2,%,97.95,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6572,15 anos
6,Município,2,%,98.02,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6573,16 anos
6,Município,2,%,98.9,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6574,17 anos
6,Município,2,%,97.97,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6575,18 anos
6,Município,2,%,98.06,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6576,19 anos
6,Município,2,%,98.28,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,93087,20 a 24 anos
6,Município,2,%,98.54,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6577,20 anos
6,Município,2,%,98.32,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6578,21 anos
6,Município,2,%,98.57,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6579,22 anos
6,Município,2,%,97.51,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6580,23 anos
6,Município,2,%,98.53,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6581,24 anos
6,Município,2,%,97.96,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,2999,25 a 34 anos
6,Município,2,%,98.48,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6582,25 anos
6,Município,2,%,98.19,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6656,26 anos
6,Município,2,%,98.58,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6657,27 anos
6,Município,2,%,97.66,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,2777,Preta,6658,28 anos
