nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,sexo_codigo,sexo,idade_codigo,idade,forma_de_declaracao_da_idade_codigo,forma_de_declaracao_da_idade
6,Município,45,Pessoas,33762,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93084,5 a 9 anos,113635,Total
6,Município,45,Pessoas,21996,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93084,5 a 9 anos,6555,Data de nascimento
6,Município,45,Pessoas,11766,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93084,5 a 9 anos,6556,Idade presumida
6,Município,45,Pessoas,6512,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6562,5 anos,113635,Total
6,Município,45,Pessoas,4239,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6562,5 anos,6555,Data de nascimento
6,Município,45,Pessoas,2273,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6562,5 anos,6556,Idade presumida
6,Município,45,Pessoas,6809,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6563,6 anos,113635,Total
6,Município,45,Pessoas,4554,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6563,6 anos,6555,Data de nascimento
6,Município,45,Pessoas,2255,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6563,6 anos,6556,Idade presumida
6,Município,45,Pessoas,7079,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6564,7 anos,113635,Total
6,Município,45,Pessoas,4675,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6564,7 anos,6555,Data de nascimento
6,Município,45,Pessoas,2404,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6564,7 anos,6556,Idade presumida
6,Município,45,Pessoas,6782,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6565,8 anos,113635,Total
6,Município,45,Pessoas,4412,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6565,8 anos,6555,Data de nascimento
6,Município,45,Pessoas,2370,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6565,8 anos,6556,Idade presumida
6,Município,45,Pessoas,6580,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6566,9 anos,113635,Total
6,Município,45,Pessoas,4116,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6566,9 anos,6555,Data de nascimento
6,Município,45,Pessoas,2464,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6566,9 anos,6556,Idade presumida
6,Município,45,Pessoas,31149,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93085,10 a 14 anos,113635,Total
6,Município,45,Pessoas,20586,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93085,10 a 14 anos,6555,Data de nascimento
6,Município,45,Pessoas,10563,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93085,10 a 14 anos,6556,Idade presumida
6,Município,45,Pessoas,6234,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6567,10 anos,113635,Total
6,Município,45,Pessoas,4102,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6567,10 anos,6555,Data de nascimento
6,Município,45,Pessoas,2132,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6567,10 anos,6556,Idade presumida
6,Município,45,Pessoas,6218,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6568,11 anos,113635,Total
6,Município,45,Pessoas,4229,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6568,11 anos,6555,Data de nascimento
6,Município,45,Pessoas,1989,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6568,11 anos,6556,Idade presumida
6,Município,45,Pessoas,6396,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6569,12 anos,113635,Total
6,Município,45,Pessoas,4198,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6569,12 anos,6555,Data de nascimento
6,Município,45,Pessoas,2198,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6569,12 anos,6556,Idade presumida
6,Município,45,Pessoas,6128,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6570,13 anos,113635,Total
6,Município,45,Pessoas,4016,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6570,13 anos,6555,Data de nascimento
6,Município,45,Pessoas,2112,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6570,13 anos,6556,Idade presumida
6,Município,45,Pessoas,6173,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6571,14 anos,113635,Total
6,Município,45,Pessoas,4041,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6571,14 anos,6555,Data de nascimento
6,Município,45,Pessoas,2132,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6571,14 anos,6556,Idade presumida
