nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,tipo_de_produto_de_origem_animal_codigo,tipo_de_produto_de_origem_animal
6,Município,23,Mil dúzias,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,106,Produção de origem animal,2684,Lã
6,Município,1012,Mil Cruzeiros,95026,3301009,Campos dos Goytacazes (RJ),1978,1978,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,89240,3301009,Campos dos Goytacazes (RJ),1978,1978,215,Valor da produção,2682,Leite
6,Município,1012,Mil Cruzeiros,5786,3301009,Campos dos Goytacazes (RJ),1978,1978,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,22600,3301009,Campos dos Goytacazes (RJ),1979,1979,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,577,3301009,Campos dos Goytacazes (RJ),1979,1979,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,106,Produção de origem animal,2684,Lã
6,Município,1012,Mil Cruzeiros,123384,3301009,Campos dos Goytacazes (RJ),1979,1979,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,113000,3301009,Campos dos Goytacazes (RJ),1979,1979,215,Valor da produção,2682,Leite
6,Município,1012,Mil Cruzeiros,10384,3301009,Campos dos Goytacazes (RJ),1979,1979,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,16920,3301009,Campos dos Goytacazes (RJ),1980,1980,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,353,3301009,Campos dos Goytacazes (RJ),1980,1980,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,106,Produção de origem animal,2684,Lã
6,Município,1012,Mil Cruzeiros,196723,3301009,Campos dos Goytacazes (RJ),1980,1980,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,186123,3301009,Campos dos Goytacazes (RJ),1980,1980,215,Valor da produção,2682,Leite
6,Município,1012,Mil Cruzeiros,10600,3301009,Campos dos Goytacazes (RJ),1980,1980,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,22120,3301009,Campos dos Goytacazes (RJ),1981,1981,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,330,3301009,Campos dos Goytacazes (RJ),1981,1981,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,106,Produção de origem animal,2684,Lã
6,Município,1012,Mil Cruzeiros,442080,3301009,Campos dos Goytacazes (RJ),1981,1981,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,420283,3301009,Campos dos Goytacazes (RJ),1981,1981,215,Valor da produção,2682,Leite
6,Município,1012,Mil Cruzeiros,21797,3301009,Campos dos Goytacazes (RJ),1981,1981,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1981,1981,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,106,Produção de origem animal,0,Total
