nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,produto_das_lavouras_temporarias_codigo,produto_das_lavouras_temporarias
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2697,Cebola
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2698,Centeio (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2699,Cevada (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2700,Ervilha (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2701,Fava (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2702,Feijão (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2703,Fumo (em folha)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,109179,Girassol (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2704,Juta (fibra)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2705,Linho (semente)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2706,Malva (fibra)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2707,Mamona (baga)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2708,Mandioca
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2709,Melancia
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2710,Melão
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2711,Milho (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2712,Rami (fibra)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2713,Soja (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2714,Sorgo (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2715,Tomate
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2716,Trigo (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,109180,Triticale (em grão)
6,Município,1006,Hectares,123314,3301009,Campos dos Goytacazes (RJ),1975,1975,216,Área colhida,0,Total
