nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,cor_ou_raca_codigo,cor_ou_raca,sexo_codigo,sexo,idade_codigo,idade
6,Município,45,Pessoas,3971,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6623,70 anos
6,Município,45,Pessoas,2994,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6624,71 anos
6,Município,45,Pessoas,3015,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6625,72 anos
6,Município,45,Pessoas,2671,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6626,73 anos
6,Município,45,Pessoas,2564,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6627,74 anos
6,Município,45,Pessoas,9386,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93098,75 a 79 anos
6,Município,45,Pessoas,2317,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6628,75 anos
6,Município,45,Pessoas,2102,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6629,76 anos
6,Município,45,Pessoas,1676,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6630,77 anos
6,Município,45,Pessoas,1768,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6631,78 anos
6,Município,45,Pessoas,1523,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6632,79 anos
6,Município,45,Pessoas,6334,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,49108,80 a 84 anos
6,Município,45,Pessoas,1630,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6633,80 anos
6,Município,45,Pessoas,1264,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6634,81 anos
6,Município,45,Pessoas,1257,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6635,82 anos
6,Município,45,Pessoas,1171,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6636,83 anos
6,Município,45,Pessoas,1012,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6637,84 anos
6,Município,45,Pessoas,3167,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,49109,85 a 89 anos
6,Município,45,Pessoas,849,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6638,85 anos
6,Município,45,Pessoas,772,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6639,86 anos
6,Município,45,Pessoas,611,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6640,87 anos
6,Município,45,Pessoas,485,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6641,88 anos
6,Município,45,Pessoas,450,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6642,89 anos
6,Município,45,Pessoas,1469,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,60040,90 a 94 anos
6,Município,45,Pessoas,449,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6643,90 anos
6,Município,45,Pessoas,304,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6644,91 anos
6,Município,45,Pessoas,339,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6645,92 anos
6,Município,45,Pessoas,221,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6646,93 anos
