ano;competencia;nivel;ocupacao_cnes;universo;categoria_estudo;n_profissionais
2018;2018-12;secao;FISCAL SANITÁRIO;;;4
2018;2018-12;ocupacao;Visitador Sanitário;principal;Agentes comunitários de saúde e afins;4
2018;2018-12;secao;TÉCNICO DE ENFERMAGEM;;;2119
2018;2018-12;ocupacao;Técnico de enfermagem;principal;Enfermagem – técnicos e auxiliares;2073
2018;2018-12;ocupacao;Técnico de enfermagem de saúde da família;principal;Enfermagem – técnicos e auxiliares;28
2018;2018-12;ocupacao;Técnico de enfermagem de terapia intensiva;principal;Enfermagem – técnicos e auxiliares;4
2018;2018-12;ocupacao;Socorrista (exceto médicos e enfermeiros) habilita;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);14
2018;2018-12;secao;TÉCNICO E AUXILIAR DE FARMÁCIA;;;109
2018;2018-12;ocupacao;Auxiliar de Farmácia de Manipulação;principal;Farmácia – técnicos e auxiliares;12
2018;2018-12;ocupacao;Auxiliar técnico em laboratório de farmácia;principal;Farmácia – técnicos e auxiliares;6
2018;2018-12;ocupacao;Técnico em Farmácia;principal;Farmácia – técnicos e auxiliares;91
2018;2018-12;secao;TÉCNICO E AUXILIAR DE LABORATÓRIO;;;225
2018;2018-12;ocupacao;Auxiliar de Laboratório de Análises Clínicas;principal;Diagnóstico e laboratório – técnicos e auxiliares;15
2018;2018-12;ocupacao;Auxiliar Técnico em Patologia Clínica;principal;Diagnóstico e laboratório – técnicos e auxiliares;6
2018;2018-12;ocupacao;Técnico de laboratório de análises físico-químicas;principal;Diagnóstico e laboratório – técnicos e auxiliares;6
2018;2018-12;ocupacao;Técnico em Laboratório de Farmácia;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);5
2018;2018-12;ocupacao;Técnico em patologia clínica;principal;Diagnóstico e laboratório – técnicos e auxiliares;193
2018;2018-12;secao;TÉCNICO E AUXILIAR EM FISIOTERAPIA E REABILITAÇÃO;;;10
2018;2018-12;ocupacao;Técnico de imobilização ortopédica;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);10
2018;2018-12;secao;TÉCNICO E AUXILIAR EM SAÚDE ORAL;;;10
2018;2018-12;ocupacao;Técnico em saúde bucal;principal;Odontologia e saúde bucal;10
2018;2018-12;secao;TÉCNICO E AUXILIAR EM VIG SANITÁRIA E AMBIENTAL;;;2
2018;2018-12;ocupacao;Agente de defesa ambiental;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;secao;TÉCNICO E AUXILIAR EM RADIOLOGIA MÉDICA;;;171
2018;2018-12;ocupacao;Auxiliar de Radiologia (Revelação Fotográfica);nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Técnico em radiologia e imagenologia;principal;Diagnóstico e laboratório – técnicos e auxiliares;169
2018;2018-12;secao;OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚD;;;25
2018;2018-12;ocupacao;Instrumentador Cirúrgico;principal;Instrumentação cirúrgica;25
2018;2018-12;secao;PESSOAL DE SAÚDE - QUALIFICAÇÃO ELEMENTAR;;;2474
2018;2018-12;secao;AGENTE COMUNITÁRIO DE SAÚDE;;;213
2018;2018-12;ocupacao;Agente comunitário de saúde;principal;Agentes comunitários de saúde e afins;213
2018;2018-12;secao;AGENTE DE SAÚDE PÚBLICA;;;17
2018;2018-12;ocupacao;Agente de saúde pública agente de saneam;principal;Agentes de combate às endemias;17
2018;2018-12;secao;ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM;;;128
2018;2018-12;ocupacao;Atendente de consultório dentario;principal;Odontologia e saúde bucal;102
2018;2018-12;ocupacao;Atendente de enfermagem atend berçario;principal;Agentes comunitários de saúde e afins;8
2018;2018-12;ocupacao;Atendente de farmácia balconista;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);18
2018;2018-12;secao;OUTRAS OCUPAÇÕES NÍVEL ELEMENTAR EM SAÚDE;;;2116
2018;2018-12;secao;PESSOAL ADMINISTRATIVO;;;2116
2018;2018-12;secao;ADMINISTRAÇÃO;;;1225
2018;2018-12;ocupacao;Administrador;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);19
2018;2018-12;ocupacao;Advogado;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Almoxarife;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);3
2018;2018-12;ocupacao;Arquiteto de edificacoes;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Arquivista;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Arquivista de documentos;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Assistente tecnico administrativo;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);343
2018;2018-12;ocupacao;Atendente de ambulatorio ou clínica;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);139
2018;2018-12;ocupacao;Auxiliar de contabilidade;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Auxiliar de escritorio em geral auxiliar;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);261
2018;2018-12;ocupacao;Auxiliar de faturamento;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);27
2018;2018-12;ocupacao;Comprador;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Contador;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);4
2018;2018-12;ocupacao;Digitador;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);40
2018;2018-12;ocupacao;Diretor administrativo;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);11
2018;2018-12;ocupacao;Diretor de manutenção;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Diretor de recursos humanos;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Diretor de serviços de informatica;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);3
2018;2018-12;ocupacao;Diretor de serviços de saude diretor cli;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);27
2018;2018-12;ocupacao;Engenheiro de seguranca do trabalho;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);3
2018;2018-12;ocupacao;Gerente administrativo;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);11
2018;2018-12;ocupacao;Gerente de almoxarifado;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Gerente de departamento pessoal;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Gerente de recursos humanos;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Gerente de serviços de saude administrado;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);113
2018;2018-12;ocupacao;Gerente de suporte tecnico de tecnologia;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Gerente financeiro;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Operador de computador inclusive microcom;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Operador de radiochamada;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);4
2018;2018-12;ocupacao;Programador de sistemas de informacao;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Recepcionista em geral;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);86
2018;2018-12;ocupacao;Secretaria executiva;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);10
2018;2018-12;ocupacao;Supervisor administrativo;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);16
2018;2018-12;ocupacao;Supervisor de controle patrimonial;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Supervisor de tesouraria;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);3
2018;2018-12;ocupacao;Tecnico de apoio usuário inform helpdesk;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);5
2018;2018-12;ocupacao;Tecnico de contabilidade;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Tecnico em manutenção de equip informátic;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);5
2018;2018-12;ocupacao;Tecnico em segurança no trabalho;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);19
