APRZ_23_002;APRZ_23_003;APRZ_23_004;_endpoint;_modulo;cd_dimensao;cd_indicador;cd_mun_ibge;cd_municipio_ibge_dv;cd_uf;ds_agreg_primaria;ds_agreg_secundaria;ds_fonte;ds_indicador;ds_indicador_completo;ds_indicador_curto;ds_indicador_prefixo;ds_indicador_radical;media_br;media_uf;nm_municipio;nm_municipio_uf;nm_uf;nu_competencia;nu_competencia_max;nu_competencia_min;pct_br;pct_uf;rank_br;rank_br_total;rank_uf;rank_uf_total;spai_ds;vl_indicador;vl_indicador_br;vl_indicador_txt;vl_indicador_uf
;;;indicadoresmunicipais;trabalhoinfantil;9;09_01_02_88;3301009;;33;Acidente Típico Com CAT emitido;;2000-2018 (CATWEB);Notificações de Acidente de Trabalho - Acidente Típico Com CAT emitido (SPAI_REC);null;Notificações de Acidentes de Trabalho (CAT);(Quantidade);Notificações de Acidentes de Trabalho (CAT) - Acidente Típico Com CAT emitido (SPAI *);60.093716337522444;259.6304347826087;;Campos dos Goytacazes/RJ;Rio de Janeiro;2017;2018;2000;0.12816606019323498;1.7960311479527757;132;5570;9;92;;429;334726;;23886
;;;indicadoresmunicipais;trabalhoinfantil;;AEAT_R_AT_DE2002A2023_TOTAL;3301009;;33;;;Anuário Estatístico de Acidentes do Trabalho (Previdência Social);Acidentes de Trabalho Registrados (Total);Acidentes de Trabalho Registrados (Total);Acidentes de Trabalho Registrados (Total);(quantidade);Acidentes de Trabalho Registrados (Total);107.743788260713;427.55434782608694;;Campos dos Goytacazes/RJ;Rio de Janeiro;2022;2023;2002;0.16176227296046683;2.460912673191814;114;5570;8;92;;968;598409;;39335
;;;indicadoresmunicipais;trabalhoinfantil;1;02_04_03_00;3301009;;33;Estatutários;;ME - RAIS;Número de Empregados Formais - Estatutários;null;Empregados Formais;(Quantidade);Empregados Formais - Estatutários;1562.789407540395;8668.304347826086;;Campos dos Goytacazes/RJ;Rio de Janeiro;2011;2017;2002;0.12284116108275299;1.3408419479262281;53;5565;8;92;;10693;8704737;;797484
;;;indicadoresmunicipais;trabalhoinfantil;9;09_01_03_88;3301009;;33;Acidente de Trajeto Com CAT;;2000-2018 (CATWEB);Notificações de Acidente de Trabalho - Acidente de Trajeto Com CAT (SPAI_REC);null;Notificações de Acidentes de Trabalho (CAT);(Quantidade);Notificações de Acidentes de Trabalho (CAT) - Acidente de Trajeto Com CAT (SPAI *);3.279892280071813;15.021739130434783;;Campos dos Goytacazes/RJ;Rio de Janeiro;2001;2018;2000;0.35579396792380535;4.703328509406656;43;5565;2;92;;65;18594;;1382
;;;indicadoresmunicipais;trabalhoinfantil;10;10_12_01_05;3301009;;33;Pensão por morte por acidente do trabalho (B93);;INSS - SUB/Concessão;Duração de Benefícios Previdenciários - Pensão por morte por acidente do trabalho (B93);null;Duração de Benefícios Previdenciários;(Dias Perdidos);Duração de Benefícios Previdenciários - Pensão por morte por acidente do trabalho (B93);1793.989009009009;6335.097826086957;;Campos dos Goytacazes/RJ;Rio de Janeiro;2005;2018;2000;0.06106478300559054;1.0431876245004967;384;5565;18;92;;6080;10253910;;582829
;;;indicadoresmunicipais;trabalhoinfantil;;06_05_20_00;3301009;;33;Acidente por Animais Peçonhentos;;MS - SINAN;Notificações Relacionadas ao Trabalho no SINAN - Acidente por Animais Peçonhentos;Notificações Relacionadas ao Trabalho no Sistema de Informação de Agravos de Notificação (SINAN) - Acidente por Animais Peçonhentos;Notificações Relacionadas ao Trabalho no SINAN;(quantidade);Notificações Relacionadas ao Trabalho no SINAN - Acidente por Animais Peçonhentos;7.912293577981651;5.043478260869565;;Campos dos Goytacazes/RJ;Rio de Janeiro;2008;2022;2007;0.013914011409489356;1.293103448275862;1405;5565;22;92;;3;21561;;232
;;;indicadoresmunicipais;trabalhoinfantil;0;00_01_02_01;3301009;;33;Saúde e Segurança no Trabalho;Denúncias Recebidas;MPT - GAIA;Atuação do MPT - Denúncias Recebidas - Saúde e Segurança no Trabalho;null;Atuação do MPT;(Quantidade);Atuação do MPT - Denúncias Recebidas - Saúde e Segurança no Trabalho;8.950371238765143;27.81159420289855;;Campos dos Goytacazes/RJ;Rio de Janeiro;2016;2018;2012;0.2794271742927;3.3350703491401767;59;5570;5;92;;64;22904;;1919
;;;indicadoresmunicipais;trabalhoinfantil;10;10_08_02_03;3301009;;33;Idosos;;MDS - Matriz de Informação Social;Número de beneficiários do BPC - Idosos;null;Benefícios de Pestação Continuada - BPC;(Quantidade);Beneficiários do Benefício de Pestação Continuada - BPC - Idosos;339.1446540880503;1922.5434782608695;;Campos dos Goytacazes/RJ;Rio de Janeiro;201503;201809;200412;0.20229529390570858;2.1585987765301855;68;5570;10;92;;3818;;;
;;;indicadoresmunicipais;trabalhoinfantil;0;00_01_01_08;3301009;;33;Liberdade Sindical;Ações Civis Públicas Ajuizadas;MPT - GAIA;Atuação do MPT - Ações Civis Públicas Ajuizadas - Liberdade Sindical;null;Atuação do MPT;(Quantidade);Atuação do MPT - Ações Civis Públicas Ajuizadas - Liberdade Sindical;0.055757575757575756;0.375;;Campos dos Goytacazes/RJ;Rio de Janeiro;2018;2018;2012;0;0;19;5570;7;92;;0;46;;15
;;;indicadoresmunicipais;trabalhoinfantil;;AEAT_R_AT_DE2002A2023_TIPO;3301009;;33;Trajeto;;Anuário Estatístico de Acidentes do Trabalho (Previdência Social);Acidentes de Trabalho Registrados (por tipo);Acidentes de Trabalho Registrados (por tipo);Acidentes de Trabalho Registrados (por tipo);(quantidade);Acidentes de Trabalho Registrados (por tipo);8.399351818509183;48.77173913043478;;Campos dos Goytacazes/RJ;Rio de Janeiro;2002;2023;2002;0.2765273311897106;2.8749721417428127;54;5565;4;92;;129;46650;;4487
