Código;Descrição;Dotação Inicial;Alt. de Dotação;Dotação Atualizada;Valor Empenhado;Valor Liquidado;Valor Pago
3.1.91.13.11 ;CONTRIBUIÇÕES PREVIDENCIÁRIAS - RPPS - PESSOAL ATIVO - PLANO;0,00;0,00;0,00;30.645.332,47;30.645.332,47;30.645.332,47
3.1.91.13.99 ;OUTRAS OBRIGAÇÕES PATRONAIS - INTRA OFSS;0,00;0,00;0,00;9.268.706,80;9.268.706,80;9.268.706,80
3.2.90.21.01 ;JUROS DA DÍVIDA CONTRATUAL;0,00;0,00;0,00;3.792.158,33;3.792.158,33;3.792.158,33
3.2.91.21.00 ;JUROS SOBRE A DÍVIDA POR CONTRATO - INTRA OFSS;20.000.000,00;15.504.578,49;35.504.578,49;35.441.578,49;34.951.072,12;34.951.072,12
3.3.50.39.99 ;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;0,00;0,00;0,00;479.060,00;479.060,00;479.060,00
3.3.50.41.00 ;CONTRIBUIÇÕES;210.000,00;170.932,55;380.932,55;380.932,55;380.932,55;352.548,76
3.3.71.70.00 ;RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO;0,00;353.500,56;353.500,56;353.500,56;353.500,56;353.500,56
3.3.90.08.01 ;AUXÍLIO FUNERAL;0,00;0,00;0,00;297.859,96;297.859,96;297.859,96
3.3.90.08.56 ;SALÁRIO-FAMÍLIA;0,00;0,00;0,00;57.354,37;57.354,37;57.354,37
3.3.90.08.99 ;OUTROS BENEFÍCIOS ASSISTENCIAIS;0,00;0,00;0,00;82.416,00;72.720,00;72.720,00
3.3.90.14.14 ;DIÁRIAS NO PAIS;0,00;0,00;0,00;330.105,00;328.255,00;326.705,00
3.3.90.14.16 ;DIÁRIAS NO EXTERIOR;0,00;0,00;0,00;24.864,00;24.864,00;24.864,00
3.3.90.18.00 ;AUXÍLIO FINANCEIRO A ESTUDANTE;1.000.000,00;0,00;1.000.000,00;444.870,00;444.870,00;444.870,00
3.3.90.20.00 ;AUXÍLIO FINANCEIRO A PESQUISADORES;0,00;72.255,76;72.255,76;54.505,76;54.505,76;54.505,76
3.3.90.30.01 ;COMBUSTÍVEIS E LUBRIFICANTES AUTOMOTIVOS;0,00;0,00;0,00;7.034.225,60;5.496.562,42;4.567.786,40
3.3.90.30.06 ;ALIMENTOS PARA ANIMAIS;0,00;0,00;0,00;17.208,50;17.208,50;17.208,50
3.3.90.30.07 ;GÊNEROS DE ALIMENTAÇÃO;0,00;0,00;0,00;25.897.136,20;24.386.585,55;24.341.842,25
3.3.90.30.09 ;MATERIAL FARMACOLÓGICO;0,00;0,00;0,00;774,00;774,00;774,00
3.3.90.30.14 ;MATERIAL EDUCATIVO E ESPORTIVO;0,00;0,00;0,00;17.318.594,11;17.292.704,41;17.292.704,41
3.3.90.30.16 ;MATERIAL DE EXPEDIENTE;0,00;0,00;0,00;425.940,21;357.406,07;312.327,20
3.3.90.30.17 ;MATERIAL DE PROCESSAMENTO DE DADOS;0,00;0,00;0,00;124.490,47;115.380,10;99.604,40
3.3.90.30.18 ;MATERIAIS E MEDICAMENTOS PARA USO VETERINÁRIO;0,00;0,00;0,00;8.456,20;8.456,20;8.456,20
3.3.90.30.20 ;MATERIAL DE CAMA, MESA E BANHO;0,00;0,00;0,00;477.210,00;477.210,00;477.210,00
3.3.90.30.21 ;MATERIAL DE COPA E COZINHA;0,00;0,00;0,00;156.831,35;28.564,35;28.564,35
3.3.90.30.22 ;MATERIAL DE LIMPEZA E PRODUTOS DE HIGIENIZAÇÃO;0,00;0,00;0,00;3.137.946,08;2.958.121,88;2.940.055,64
3.3.90.30.23 ;UNIFORMES, TECIDOS E AVIAMENTOS;0,00;0,00;0,00;54.431,90;54.431,90;41.968,90
3.3.90.30.24 ;MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;0,00;0,00;0,00;134.324,20;132.211,49;111.640,20
3.3.90.30.25 ;MATERIAL PARA MANUTENÇÃO DE BENS MÓVEIS;0,00;0,00;0,00;50.238,49;50.238,49;42.777,45
3.3.90.30.26 ;MATERIAL ELÉTRICO E ELETRÔNICO;0,00;0,00;0,00;133.958,50;127.363,00;120.740,10
3.3.90.30.28 ;MATERIAL DE PROTEÇÃO E SEGURANÇA;0,00;0,00;0,00;46.932,20;46.932,20;46.932,20
3.3.90.30.29 ;MATERIAL PARA ÁUDIO, VÍDEO E FOTO;0,00;0,00;0,00;74.651,00;43.597,00;43.597,00
3.3.90.30.30 ;MATERIAL PARA COMUNICAÇÕES;0,00;0,00;0,00;31.297,42;31.297,42;31.297,42
3.3.90.30.35 ;MATERIAL LABORATORIAL;0,00;0,00;0,00;299,00;299,00;299,00
3.3.90.30.36 ;MATERIAL HOSPITALAR;0,00;0,00;0,00;1.630.265,00;1.630.265,00;1.630.265,00
3.3.90.30.39 ;MATERIAL PARA MANUTENÇÃO DE VEÍCULOS;0,00;0,00;0,00;1.405.478,10;1.197.089,47;1.116.748,07
3.3.90.30.42 ;FERRAMENTAS;0,00;0,00;0,00;43.635,52;32.085,52;8.635,82
3.3.90.30.44 ;MATERIAL DE SINALIZAÇÃO VISUAL E AFINS;0,00;0,00;0,00;17.314,55;0,00;0,00
3.3.90.30.60 ;MATERIAL DIDÁTICO;0,00;0,00;0,00;16.656,90;16.656,90;0,00
3.3.90.30.99 ;OUTROS MATERIAIS DE CONSUMO;0,00;0,00;0,00;21.126.423,52;10.075.524,61;10.069.060,36
3.3.90.32.04 ;MATERIAL EDUCACIONAL E CULTURAL;0,00;0,00;0,00;16.734.562,76;16.734.562,76;16.734.562,76
3.3.90.32.99 ;OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA;0,00;0,00;0,00;24.610.808,79;21.455.749,21;21.455.749,21
3.3.90.33.01 ;PASSAGENS PARA O PAÍS;0,00;0,00;0,00;345.000,00;290.612,45;290.612,45
3.3.90.36.06 ;SERVIÇOS TÉCNICOS PROFISSIONAIS;0,00;0,00;0,00;1.400.357,26;644.853,87;644.853,87
3.3.90.36.07 ;ESTAGIÁRIOS;0,00;0,00;0,00;3.027.925,86;3.027.925,86;3.027.925,86
3.3.90.36.15 ;LOCAÇÃO DE IMÓVEIS;0,00;0,00;0,00;1.310.773,20;1.181.345,87;1.099.981,63
3.3.90.36.35 ;SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;0,00;0,00;0,00;24.556.051,59;24.547.667,60;24.544.557,60
3.3.90.36.99 ;OUTROS SERVIÇOS DE PESSOA FÍSICA;0,00;0,00;0,00;31.764.852,73;31.333.897,39;31.049.029,79
3.3.90.39.04 ;DIREITOS AUTORAIS;0,00;0,00;0,00;17.500,00;17.500,00;17.500,00
3.3.90.39.05 ;SERVIÇOS TÉCNICOS PROFISSIONAIS;0,00;0,00;0,00;3.077.723,99;2.654.529,19;2.570.550,19
3.3.90.39.10 ;LOCAÇÃO DE IMÓVEIS;0,00;0,00;0,00;351.329,24;301.229,24;301.229,24
3.3.90.39.12 ;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;0,00;0,00;0,00;2.260.655,13;2.026.747,76;1.893.793,54
3.3.90.39.14 ;LOCAÇÃO BENS MÓVEIS DE OUTRAS NATUREZAS E INTANGÍVEIS;0,00;0,00;0,00;75.900,00;75.900,00;75.900,00
3.3.90.39.16 ;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;0,00;0,00;0,00;35.115.261,48;25.560.899,10;24.558.848,60
3.3.90.39.17 ;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;0,00;0,00;0,00;102.307,12;85.644,70;85.644,70
3.3.90.39.19 ;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;0,00;0,00;0,00;262.103,67;66.453,91;58.194,34
3.3.90.39.20 ;MANUTENÇÃO E CONSERVAÇÃO DE BENS MÓVEIS DE OUTRAS NATUREZAS;0,00;0,00;0,00;35.041,79;35.041,79;26.574,88
3.3.90.39.22 ;EXPOSIÇÕES, CONGRESSOS E CONFERÊNCIAS;0,00;0,00;0,00;88.465,00;88.465,00;88.465,00
3.3.90.39.23 ;FESTIVIDADES E HOMENAGENS;0,00;0,00;0,00;1.490.404,00;1.295.404,00;1.295.404,00
3.3.90.39.36 ;MULTAS INDEDUTÍVEIS - EMPRESAS;0,00;0,00;0,00;870,14;870,14;870,14
3.3.90.39.37 ;JUROS;0,00;0,00;0,00;27.202,00;25.282,37;25.282,37
3.3.90.39.41 ;FORNECIMENTO DE ALIMENTAÇÃO;0,00;0,00;0,00;13.647.411,82;12.699.643,49;12.699.643,49
3.3.90.39.43 ;SERVIÇOS DE ENERGIA ELÉTRICA;0,00;0,00;0,00;55.650.517,75;52.290.657,67;52.246.661,42
3.3.90.39.44 ;SERVIÇOS DE ÁGUA E ESGOTO;0,00;0,00;0,00;6.717.650,38;6.220.137,88;6.210.789,76
3.3.90.39.47 ;SERVIÇOS DE COMUNICAÇÃO EM GERAL;0,00;0,00;0,00;55.106,56;52.316,23;36.690,17
3.3.90.39.48 ;SERVIÇO DE SELEÇÃO E TREINAMENTO;0,00;0,00;0,00;9.770,00;9.770,00;9.770,00
3.3.90.39.58 ;SERVIÇOS DE TELECOMUNICAÇÕES;0,00;0,00;0,00;2.623.422,56;2.554.338,74;2.554.338,74
3.3.90.39.59 ;SERVIÇOS DE ÁUDIO, VÍDEO E FOTO;0,00;0,00;0,00;34.665,00;34.665,00;0,00
3.3.90.39.63 ;SERVIÇOS GRÁFICOS E EDITORIAIS;0,00;0,00;0,00;132.976,89;102.579,04;100.716,54
3.3.90.39.69 ;SEGUROS EM GERAL;0,00;0,00;0,00;420,00;0,00;0,00
3.3.90.39.70 ;CONFECÇÃO DE UNIFORMES, BANDEIRAS E FLÂMULAS;0,00;0,00;0,00;78.714,98;44.044,98;44.044,98
3.3.90.39.73 ;TRANSPORTE DE SERVIDORES / EMPREGADOS;0,00;0,00;0,00;17.520,00;14.308,00;9.928,00
3.3.90.39.78 ;LIMPEZA E CONSERVAÇÃO;0,00;0,00;0,00;32.991.491,59;32.991.491,59;32.991.491,59
3.3.90.39.79 ;SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;0,00;0,00;0,00;9.784,56;9.784,56;0,00
3.3.90.39.80 ;HOSPEDAGENS;0,00;0,00;0,00;273.039,00;175.395,00;167.890,00
3.3.90.39.81 ;SERVIÇOS BANCÁRIOS;0,00;0,00;0,00;1.892.367,88;1.892.367,88;1.892.367,88
3.3.90.39.83 ;SERVIÇOS DE CÓPIAS E REPRODUÇÃO DE DOCUMENTOS;0,00;0,00;0,00;18.077,48;14.228,60;14.228,60
3.3.90.39.88 ;SERVIÇOS DE PUBLICIDADE E PROPAGANDA;0,00;0,00;0,00;3.500.000,00;2.165.808,75;1.876.677,56
3.3.90.39.90 ;SERVIÇOS DE PUBLICIDADE LEGAL;0,00;0,00;0,00;80.664,67;70.017,90;70.017,90
3.3.90.39.96 ;OUTROS SERVIÇOS DE TERCEIRO PESSOA JURÍDICA - PAGAMENTO ANTE;0,00;0,00;0,00;1.058.068,84;802.004,14;802.004,14
3.3.90.39.99 ;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;0,00;0,00;0,00;244.490.884,04;126.794.720,71;124.901.349,71
3.3.90.40.16 ;LOCAÇÃO DE SOFTWARE;0,00;0,00;0,00;803.699,46;625.365,29;568.513,90
3.3.90.40.99 ;OUTROS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO -;0,00;0,00;0,00;59.200,00;16.850,00;16.850,00
3.3.90.46.01 ;INDENIZAÇÃO AUXÍLIO ALIMENTAÇÃO;0,00;0,00;0,00;11.993.880,00;11.993.880,00;11.993.880,00
3.3.90.47.12 ;CONTRIBUIÇÃO PARA O PIS/PASEP;0,00;0,00;0,00;39.038.303,64;37.812.026,31;37.812.026,31
3.3.90.91.13 ;PRECATÓRIOS JUDICIAS;0,00;0,00;0,00;14.055.710,24;13.664.716,54;13.664.716,54
3.3.90.91.14 ;SENTENÇAS JUDICIAIS;0,00;0,00;0,00;4.825.236,48;4.819.962,54;4.819.962,54
3.3.90.91.15 ;SENTENÇAS JUDICIAIS DE PEQUENO VALOR;0,00;0,00;0,00;200.000,00;199.593,39;113.863,91
3.3.90.91.99 ;DIVERSAS SENTENÇAS;0,00;0,00;0,00;100.000,00;71.582,76;71.582,76
3.3.90.92.39 ;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;0,00;0,00;0,00;33.000,00;33.000,00;33.000,00
3.3.90.92.99 ;OUTRAS DESPESAS DE EXERCÍCIOS ANTERIORES;0,00;2.589.646,95;2.589.646,95;3.863.050,19;3.846.175,19;3.839.035,19
3.3.90.93.01 ;INDENIZAÇÕES;0,00;0,00;0,00;28.137,52;28.137,52;28.137,52
3.3.90.93.02 ;RESTITUIÇÕES;0,00;0,00;0,00;142.876,82;142.876,82;142.876,82
4.4.90.51.91 ;OBRAS EM ANDAMENTO;0,00;0,00;0,00;12.519.075,64;4.865.822,97;4.818.059,39
4.4.90.51.99 ;OUTRAS OBRAS E INSTALAÇÕES;0,00;0,00;0,00;67.675.718,98;22.699.004,38;22.578.490,82
4.4.90.52.04 ;APARELHOS DE MEDIÇÃO E ORIENTAÇÃO;0,00;0,00;0,00;242.778,00;242.778,00;242.778,00
4.4.90.52.06 ;APARELHOS E EQUIPAMENTOS DE COMUNICAÇÃO;0,00;0,00;0,00;45.307,70;45.307,70;45.307,70
4.4.90.52.08 ;APARELHOS, EQUIPAMENTOS, UTENSÍLIOS MÉDICO-ODONTOLÓGICO, LAB;0,00;0,00;0,00;14.949,00;14.949,00;14.949,00
4.4.90.52.12 ;APARELHOS E UTENSÍLIOS DOMÉSTICOS;0,00;0,00;0,00;27.936,80;26.992,82;26.992,82
4.4.90.52.24 ;EQUIPAMENTO DE PROTEÇÃO, SEGURANÇA E SOCORRO;0,00;0,00;0,00;3.850,00;3.850,00;3.850,00
4.4.90.52.26 ;INSTRUMENTOS MUSICAIS E ARTÍSTICOS;0,00;0,00;0,00;5.742,00;5.742,00;5.742,00
4.4.90.52.28 ;MÁQUINAS E EQUIPAMENTOS DE NATUREZA INDUSTRIAL;0,00;0,00;0,00;17.488,00;0,00;0,00
4.4.90.52.30 ;MÁQUINAS E EQUIPAMENTOS ENERGÉTICOS;0,00;0,00;0,00;1.186,90;1.186,90;1.186,90
4.4.90.52.32 ;MÁQUINAS E EQUIPAMENTOS GRÁFICOS;0,00;0,00;0,00;13.680,80;13.680,80;13.680,80
4.4.90.52.33 ;EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;0,00;0,00;0,00;125.812,55;103.763,75;103.763,75
4.4.90.52.34 ;MÁQUINAS, UTENSÍLIOS E EQUIPAMENTOS DIVERSOS;0,00;0,00;0,00;1.908.836,06;1.892.047,76;1.820.697,76
4.4.90.52.35 ;EQUIPAMENTOS DE PROCESSAMENTO DE DADOS;0,00;0,00;0,00;962.460,21;933.097,49;913.541,99
4.4.90.52.36 ;MÁQUINAS, INSTALAÇÕES E UTENSÍLIOS DE ESCRITÓRIO;0,00;0,00;0,00;227.545,00;211.175,00;211.175,00
4.4.90.52.38 ;MÁQUINAS, FERRAMENTAS E UTENSÍLIOS DE OFICINA;0,00;0,00;0,00;14.400,00;14.400,00;0,00
4.4.90.52.39 ;EQUIPAMENTOS E UTENSÍLIOS HIDRÁULICOS E ELÉTRICOS;0,00;0,00;0,00;356.615,64;356.615,64;356.615,64
4.4.90.52.42 ;MOBILIÁRIO EM GERAL;0,00;0,00;0,00;10.877.827,30;10.673.444,20;10.427.774,20
4.4.90.52.48 ;VEÍCULOS DIVERSOS ;0,00;0,00;0,00;4.549.080,00;1.231.080,00;1.231.080,00
4.4.90.52.52 ;VEÍCULOS DE TRAÇÃO MECÂNICA;0,00;0,00;0,00;1.581.700,00;372.000,00;190.000,00
4.4.90.52.87 ;MATERIAL DE CONSUMO DE USO DURADOURO;0,00;0,00;0,00;140,00;140,00;140,00
4.4.90.52.99 ;OUTROS MATERIAIS PERMANENTES;0,00;0,00;0,00;9.259.234,20;6.343.879,11;4.096.165,61
4.4.90.61.03 ;TERRENOS;0,00;0,00;0,00;285.000,00;285.000,00;285.000,00
4.4.90.61.99 ;OUTRAS AQUISIÇÕES DE BENS IMÓVEIS;0,00;0,00;0,00;10.630.000,00;10.630.000,00;10.630.000,00
4.4.90.92.99 ;OUTRAS DESPESAS DE EXERCÍCIOS ANTERIORES;0,00;0,00;0,00;103.903,63;103.903,63;103.903,63
4.4.93.52.00 ;EQUIPAMENTOS E MATERIAL PERMANENTE;0,00;28.833,00;28.833,00;28.833,00;28.833,00;28.833,00
4.6.90.71.01 ;AMORTIZAÇÃO DA DÍVIDA CONTRATUAL;0,00;0,00;0,00;88.046.624,19;86.300.893,43;86.299.568,77
4.6.91.71.02 ;AMORTIZAÇÃO DA DÍVIDA CONTRATUAL - INTRA OFSS;0,00;0,00;0,00;47.662.752,59;47.256.834,37;47.256.834,37
;;;;;1.454.932.036,85;1.225.000.021,63;1.216.615.442,75
