Código;Descrição;Dotação Inicial;Alt. de Dotação;Dotação Atualizada;Valor Empenhado;Valor Liquidado;Valor Pago
3.3.90.39.81 ;SERVIÇOS BANCÁRIOS;0,00;0,00;0,00;1.955.033,50;1.821.452,83;1.821.452,83
3.3.90.39.83 ;SERVIÇOS DE CÓPIAS E REPRODUÇÃO DE DOCUMENTOS;0,00;0,00;0,00;15.198,32;11.359,44;6.789,44
3.3.90.39.88 ;SERVIÇOS DE PUBLICIDADE E PROPAGANDA;0,00;0,00;0,00;5.816.490,00;5.203.415,78;5.203.415,78
3.3.90.39.90 ;SERVIÇOS DE PUBLICIDADE LEGAL;0,00;0,00;0,00;163.893,26;87.040,11;87.040,11
3.3.90.39.94 ;AQUISIÇÃO DE SOFTWARES DE APLICAÇÃO;0,00;0,00;0,00;32.859,00;32.859,00;32.859,00
3.3.90.39.95 ;MANUTENÇÃO E CONSERVAÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE;0,00;0,00;0,00;32.178,00;32.178,00;32.178,00
3.3.90.39.96 ;OUTROS SERVIÇOS DE TERCEIRO PESSOA JURÍDICA - PAGAMENTO ANTE;0,00;0,00;0,00;174.584,31;174.584,31;174.584,31
3.3.90.39.99 ;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;0,00;0,00;0,00;140.932.710,25;126.714.634,38;125.383.141,42
3.3.90.40.16 ;LOCAÇÃO DE SOFTWARE;0,00;0,00;0,00;1.231.154,84;1.080.943,45;1.065.383,45
3.3.90.46.01 ;INDENIZAÇÃO AUXÍLIO ALIMENTAÇÃO;0,00;0,00;0,00;24.063.670,04;24.063.670,04;24.063.670,04
3.3.90.47.12 ;CONTRIBUIÇÃO PARA O PIS/PASEP;25.377.540,58;1.673.207,97;27.050.748,55;24.875.648,42;23.344.338,93;23.344.338,93
3.3.90.91.13 ;PRECATÓRIOS JUDICIAS;0,00;0,00;0,00;28.273.522,32;28.273.522,32;28.273.522,32
3.3.90.91.14 ;SENTENÇAS JUDICIAIS;0,00;0,00;0,00;94.667,18;87.696,02;87.696,02
3.3.90.91.15 ;SENTENÇAS JUDICIAIS DE PEQUENO VALOR;0,00;0,00;0,00;600.000,00;585.882,92;555.823,97
3.3.90.91.99 ;DIVERSAS SENTENÇAS;0,00;0,00;0,00;50.000,00;38.483,20;38.483,20
3.3.90.92.99 ;OUTRAS DESPESAS DE EXERCÍCIOS ANTERIORES;0,00;0,00;0,00;1.745.314,53;1.745.314,53;1.745.314,53
3.3.90.93.02 ;RESTITUIÇÕES;0,00;0,00;0,00;1.267.643,55;1.165.919,73;1.068.900,78
3.3.90.93.05 ;INDENIZAÇÃO DE TRANSPORTE;0,00;0,00;0,00;31.371,00;31.371,00;31.371,00
3.3.90.93.99 ;DIVERSAS INDENIZAÇÕES E RESTITUIÇÕES;0,00;0,00;0,00;1.599.383,19;1.599.383,19;1.589.414,50
4.4.90.51.91 ;OBRAS EM ANDAMENTO;0,00;0,00;0,00;4.680.330,39;1.574.036,95;1.344.121,02
4.4.90.51.99 ;OUTRAS OBRAS E INSTALAÇÕES;0,00;0,00;0,00;157.836.415,32;61.878.925,07;60.711.485,88
4.4.90.52.02 ;AERONAVES;0,00;0,00;0,00;34.745,00;34.745,00;34.745,00
4.4.90.52.06 ;APARELHOS E EQUIPAMENTOS DE COMUNICAÇÃO;0,00;0,00;0,00;156.594,40;96.584,40;96.584,40
4.4.90.52.10 ;APARELHOS E EQUIPAMENTOS PARA ESPORTES E DIVERSÕES;0,00;0,00;0,00;2.266.561,31;2.266.372,31;2.266.372,31
4.4.90.52.12 ;APARELHOS E UTENSÍLIOS DOMÉSTICOS;0,00;0,00;0,00;554.149,86;42.550,86;42.550,86
4.4.90.52.24 ;EQUIPAMENTO DE PROTEÇÃO, SEGURANÇA E SOCORRO;0,00;0,00;0,00;6.449,82;6.449,82;6.449,82
4.4.90.52.26 ;INSTRUMENTOS MUSICAIS E ARTÍSTICOS;0,00;0,00;0,00;3.132.836,72;3.126.131,72;17.112,20
4.4.90.52.28 ;MÁQUINAS E EQUIPAMENTOS DE NATUREZA INDUSTRIAL;0,00;0,00;0,00;13.656,00;3.058,00;3.058,00
4.4.90.52.33 ;EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;0,00;0,00;0,00;132.243,00;94.123,00;94.123,00
4.4.90.52.34 ;MÁQUINAS, UTENSÍLIOS E EQUIPAMENTOS DIVERSOS;0,00;0,00;0,00;616.384,59;247.279,89;247.279,89
4.4.90.52.35 ;EQUIPAMENTOS DE PROCESSAMENTO DE DADOS;0,00;0,00;0,00;28.233.394,95;28.111.190,05;22.516.310,05
4.4.90.52.36 ;MÁQUINAS, INSTALAÇÕES E UTENSÍLIOS DE ESCRITÓRIO;0,00;0,00;0,00;17.190,00;17.190,00;17.190,00
4.4.90.52.38 ;MÁQUINAS, FERRAMENTAS E UTENSÍLIOS DE OFICINA;0,00;0,00;0,00;46.851,98;0,00;0,00
4.4.90.52.42 ;MOBILIÁRIO EM GERAL;0,00;0,00;0,00;8.032.560,89;6.624.658,58;1.740.116,58
4.4.90.52.48 ;VEÍCULOS DIVERSOS ;0,00;0,00;0,00;1.407.294,75;1.049.294,75;937.594,75
4.4.90.52.99 ;OUTROS MATERIAIS PERMANENTES;0,00;0,00;0,00;5.529.039,16;5.266.968,82;5.093.968,82
4.4.90.61.99 ;OUTRAS AQUISIÇÕES DE BENS IMÓVEIS;0,00;0,00;0,00;155.000,00;155.000,00;155.000,00
4.4.90.92.51 ;OBRAS E INSTALAÇÕES;0,00;0,00;0,00;152.243,66;152.243,66;152.243,66
4.6.90.71.01 ;AMORTIZAÇÃO DA DÍVIDA CONTRATUAL;0,00;0,00;0,00;132.216.996,80;130.031.969,44;128.328.942,28
4.6.91.71.02 ;AMORTIZAÇÃO DA DÍVIDA CONTRATUAL - INTRA OFSS;0,00;0,00;0,00;34.777.339,46;34.777.339,46;34.777.339,46
;;;;;1.588.443.356,88;1.378.628.184,47;1.348.655.720,23
