Código;Descrição;Dotação Inicial;Alt. de Dotação;Dotação Atualizada;Valor Empenhado;Valor Liquidado;Valor Pago
3.3.90.30.60 ;MATERIAL DIDÁTICO;0,00;0,00;0,00;5.173.405,40;5.173.405,40;5.173.405,40
3.3.90.30.99 ;OUTROS MATERIAIS DE CONSUMO;0,00;0,00;0,00;5.779.534,83;219.985,39;219.985,39
3.3.90.32.99 ;OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA;0,00;0,00;0,00;203.550,00;203.550,00;203.550,00
3.3.90.33.01 ;PASSAGENS PARA O PAÍS;0,00;0,00;0,00;62.500,00;49.770,42;49.770,42
3.3.90.36.01 ;CONDOMÍNIOS;0,00;0,00;0,00;12.237,25;12.237,25;12.237,25
3.3.90.36.07 ;ESTAGIÁRIOS;0,00;0,00;0,00;1.406.326,73;1.406.326,73;1.406.326,73
3.3.90.36.15 ;LOCAÇÃO DE IMÓVEIS;0,00;0,00;0,00;708.186,74;496.503,59;496.503,59
3.3.90.36.99 ;OUTROS SERVIÇOS DE PESSOA FÍSICA;0,00;0,00;0,00;26.065.987,51;26.065.987,51;26.064.487,51
3.3.90.39.02 ;CONDOMÍNIOS;0,00;0,00;0,00;46.612,00;46.612,00;46.612,00
3.3.90.39.05 ;SERVIÇOS TÉCNICOS PROFISSIONAIS;0,00;0,00;0,00;34.837,07;29.867,07;29.867,07
3.3.90.39.10 ;LOCAÇÃO DE IMÓVEIS;0,00;0,00;0,00;302.073,24;218.694,00;165.684,50
3.3.90.39.12 ;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;0,00;0,00;0,00;793.235,51;655.572,84;655.572,84
3.3.90.39.14 ;LOCAÇÃO BENS MÓVEIS DE OUTRAS NATUREZAS E INTANGÍVEIS;0,00;0,00;0,00;35.400,00;23.800,00;20.600,00
3.3.90.39.16 ;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;0,00;0,00;0,00;735.699,86;536.911,51;166.642,36
3.3.90.39.17 ;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;0,00;0,00;0,00;66.299,50;66.299,50;66.299,50
3.3.90.39.19 ;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;0,00;0,00;0,00;16.623,00;16.623,00;248,00
3.3.90.39.23 ;FESTIVIDADES E HOMENAGENS;0,00;0,00;0,00;30.526,00;10.668,00;1.668,00
3.3.90.39.37 ;JUROS;0,00;0,00;0,00;619.721,50;618.604,83;618.604,83
3.3.90.39.41 ;FORNECIMENTO DE ALIMENTAÇÃO;0,00;0,00;0,00;8.883,00;0,00;0,00
3.3.90.39.43 ;SERVIÇOS DE ENERGIA ELÉTRICA;0,00;0,00;0,00;40.542.153,31;40.127.704,02;39.580.925,51
3.3.90.39.44 ;SERVIÇOS DE ÁGUA E ESGOTO;0,00;0,00;0,00;7.809.305,08;7.744.594,26;7.563.322,98
3.3.90.39.47 ;SERVIÇOS DE COMUNICAÇÃO EM GERAL;0,00;0,00;0,00;23.221,68;0,00;0,00
3.3.90.39.51 ;SERVIÇOS DE ANÁLISES E PESQUISAS CIENTÍFICAS;0,00;0,00;0,00;31.140,95;0,00;0,00
3.3.90.39.58 ;SERVIÇOS DE TELECOMUNICAÇÕES;0,00;0,00;0,00;2.797.725,74;2.678.926,65;2.486.010,63
3.3.90.39.59 ;SERVIÇOS DE ÁUDIO, VÍDEO E FOTO;0,00;0,00;0,00;32.284,00;32.284,00;30.684,00
3.3.90.39.63 ;SERVIÇOS GRÁFICOS E EDITORIAIS;0,00;0,00;0,00;77.457,43;33.107,68;33.107,68
3.3.90.39.66 ;SERVIÇOS JUDICIÁRIOS;0,00;0,00;0,00;10.000,00;10.000,00;0,00
3.3.90.39.69 ;SEGUROS EM GERAL;0,00;0,00;0,00;4.830,00;2.296,50;2.296,50
3.3.90.39.70 ;CONFECÇÃO DE UNIFORMES, BANDEIRAS E FLÂMULAS;0,00;0,00;0,00;29.575,00;29.575,00;12.025,00
3.3.90.39.78 ;LIMPEZA E CONSERVAÇÃO;0,00;0,00;0,00;41.603.731,08;37.448.902,79;37.263.484,81
3.3.90.39.79 ;SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;0,00;0,00;0,00;9.200,00;9.200,00;9.200,00
3.3.90.39.80 ;HOSPEDAGENS;0,00;0,00;0,00;2.156,00;0,00;0,00
3.3.90.39.81 ;SERVIÇOS BANCÁRIOS;0,00;0,00;0,00;1.323.939,58;1.323.939,58;1.318.405,54
3.3.90.39.83 ;SERVIÇOS DE CÓPIAS E REPRODUÇÃO DE DOCUMENTOS;0,00;0,00;0,00;30.173,00;19.389,09;18.932,49
3.3.90.39.89 ;SERVIÇOS DECORRENTES DE DECISÃO JUDICIAL;0,00;0,00;0,00;30.683,13;30.683,13;30.683,13
3.3.90.39.90 ;SERVIÇOS DE PUBLICIDADE LEGAL;0,00;0,00;0,00;110.774,93;34.679,49;34.679,49
3.3.90.39.95 ;MANUTENÇÃO E CONSERVAÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE;0,00;0,00;0,00;3.980,00;3.980,00;3.980,00
3.3.90.39.96 ;OUTROS SERVIÇOS DE TERCEIRO PESSOA JURÍDICA - PAGAMENTO ANTE;0,00;0,00;0,00;1.372,32;1.372,32;1.372,32
3.3.90.39.99 ;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;0,00;0,00;0,00;25.796.776,34;23.767.379,13;23.705.491,77
3.3.90.40.16 ;LOCAÇÃO DE SOFTWARE;0,00;0,00;0,00;613.702,78;556.851,39;556.851,39
3.3.90.46.01 ;INDENIZAÇÃO AUXÍLIO ALIMENTAÇÃO;0,00;0,00;0,00;11.161.033,75;11.161.033,75;11.161.033,75
3.3.90.47.12 ;CONTRIBUIÇÃO PARA O PIS/PASEP;0,00;0,00;0,00;23.964.638,78;23.964.638,78;23.895.629,48
3.3.90.91.14 ;SENTENÇAS JUDICIAIS;0,00;0,00;0,00;23.987.336,57;23.987.336,57;23.987.336,57
3.3.90.92.99 ;OUTRAS DESPESAS DE EXERCÍCIOS ANTERIORES;0,00;0,00;0,00;3.761.591,10;3.623.993,14;3.621.493,14
4.4.90.51.80 ;ESTUDOS E PROJETOS;0,00;0,00;0,00;1.987.561,35;432.592,40;0,00
4.4.90.51.91 ;OBRAS EM ANDAMENTO;0,00;0,00;0,00;1.824.883,17;1.218.034,68;970.063,78
4.4.90.51.99 ;OUTRAS OBRAS E INSTALAÇÕES;0,00;0,00;0,00;821.778,47;278.599,39;278.599,39
4.4.90.52.06 ;APARELHOS E EQUIPAMENTOS DE COMUNICAÇÃO;0,00;0,00;0,00;4.343,76;0,00;0,00
4.4.90.52.10 ;APARELHOS E EQUIPAMENTOS PARA ESPORTES E DIVERSÕES;0,00;0,00;0,00;1.820.887,03;0,00;0,00
4.4.90.52.12 ;APARELHOS E UTENSÍLIOS DOMÉSTICOS;0,00;0,00;0,00;3.676.504,90;4.504,90;4.504,90
4.4.90.52.24 ;EQUIPAMENTO DE PROTEÇÃO, SEGURANÇA E SOCORRO;0,00;0,00;0,00;8.876,00;8.876,00;8.666,00
4.4.90.52.30 ;MÁQUINAS E EQUIPAMENTOS ENERGÉTICOS;0,00;0,00;0,00;80.147,10;80.147,10;51.661,50
4.4.90.52.33 ;EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;0,00;0,00;0,00;274.382,83;124.110,33;57.462,33
4.4.90.52.34 ;MÁQUINAS, UTENSÍLIOS E EQUIPAMENTOS DIVERSOS;0,00;0,00;0,00;22.463,00;19.811,00;19.811,00
4.4.90.52.35 ;EQUIPAMENTOS DE PROCESSAMENTO DE DADOS;0,00;0,00;0,00;1.730.876,00;341.516,00;247.064,00
4.4.90.52.36 ;MÁQUINAS, INSTALAÇÕES E UTENSÍLIOS DE ESCRITÓRIO;0,00;0,00;0,00;83.800,00;70.800,00;70.800,00
4.4.90.52.39 ;EQUIPAMENTOS E UTENSÍLIOS HIDRÁULICOS E ELÉTRICOS;0,00;0,00;0,00;15.872,00;14.888,00;14.888,00
4.4.90.52.42 ;MOBILIÁRIO EM GERAL;0,00;0,00;0,00;17.968.081,20;1.538,25;1.538,25
4.4.90.52.48 ;VEÍCULOS DIVERSOS ;0,00;0,00;0,00;4.332.450,00;423.300,00;0,00
4.4.90.52.99 ;OUTROS MATERIAIS PERMANENTES;0,00;0,00;0,00;9.628.915,40;16.980,00;16.980,00
4.4.90.92.51 ;OBRAS E INSTALAÇÕES;0,00;0,00;0,00;41.461,52;0,00;0,00
4.4.90.92.99 ;OUTRAS DESPESAS DE EXERÍCIOS ANTERIORES;0,00;0,00;0,00;772.514,82;772.514,81;772.514,81
4.6.90.71.01 ;AMORTIZAÇÃO DA DÍVIDA CONTRATUAL;0,00;0,00;0,00;34.655.433,86;34.655.433,86;34.655.433,86
4.6.91.71.02 ;AMORTIZAÇÃO DA DÍVIDA CONTRATUAL - INTRA OFSS;0,00;0,00;0,00;44.337.317,53;44.337.317,53;44.337.317,53
;;;;;760.662.132,68;692.995.523,00;687.297.349,18
