Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Paracambi,RJ,59.50,190.90,43627.00,24881.13,73.91,67.49,37.10,69.27,74.47,96.10,55.80,74.85,75.24,52.68,67.18,24.42,64.17,30.44,29.37,64.17,965.30,185.80,11.08,3.92,80.75,97.43,57.08,27.45,95.51,93.74,95.38,98.37,53.08,1.75,20.23,5.43,1.28,3.02,25.88,7.22,4.92,7.52,96.41,25.80,60.75,94.74,86.13,73.73,241.92,472.28,31.15,5.39,2.02,0.92,6.81,6.18,44.07,6.00,0.00,1224.36,7687.86,46.81,31.32,5.00,10.67,2.88,0.25,28.23,0.00,0.55,687.50,1070.09,941.25,32.61,40.47,545.22
Queimados,RJ,59.47,75.90,149135.00,33116.38,69.82,67.62,40.98,67.07,78.85,79.17,54.20,70.45,76.79,51.37,71.85,36.73,53.50,47.65,26.02,56.88,713.63,156.80,17.54,4.19,79.32,89.72,88.32,43.73,89.33,56.40,69.63,96.99,58.25,3.88,27.52,6.71,0.86,2.92,37.22,8.88,4.23,9.08,100.00,32.90,54.72,96.27,83.93,73.58,331.26,450.02,24.76,3.36,1.08,0.07,3.93,14.16,48.88,7.00,5.00,848.73,2163.18,74.53,78.08,4.00,13.85,0.38,0.29,13.86,0.12,0.33,21.05,238.31,103.33,33.91,40.88,498.46
Rio Bonito,RJ,59.38,459.50,59126.00,34476.64,70.01,70.44,37.68,67.90,56.07,88.29,67.78,75.08,80.58,60.27,65.84,19.39,54.53,38.44,38.37,47.03,1125.75,127.06,15.98,3.57,47.62,87.63,59.26,58.12,93.59,76.57,81.17,98.76,22.46,1.97,12.18,14.89,0.46,2.36,32.90,6.00,4.63,6.72,95.26,50.64,62.97,96.18,73.21,74.16,234.38,386.88,24.64,3.38,3.10,0.68,10.11,8.57,47.26,4.00,0.00,1380.10,2080.24,83.17,99.20,6.00,10.04,0.50,0.28,22.83,0.00,0.90,666.67,469.30,487.48,54.94,67.77,526.88
Itaguaí,RJ,59.37,282.60,124021.00,91790.60,72.38,64.54,41.20,72.65,78.01,87.46,51.41,71.88,76.86,49.11,60.31,27.93,51.13,40.76,44.97,75.05,671.31,176.73,13.68,3.48,90.72,96.00,69.75,44.03,95.99,65.63,87.62,99.39,58.53,4.77,28.30,13.42,0.78,3.68,33.46,8.36,4.26,6.76,98.79,27.02,63.23,95.53,88.15,73.84,331.12,477.11,26.98,5.50,3.86,0.24,8.11,2.93,50.32,7.00,0.00,1031.81,1552.22,64.25,83.44,7.00,13.89,2.58,0.30,68.95,0.36,0.70,70.18,426.30,273.55,72.26,80.19,529.54
Angra dos Reis,RJ,59.37,813.40,179142.00,66430.53,65.75,67.18,45.17,69.53,82.00,84.86,26.61,71.01,86.07,55.95,55.67,46.83,53.16,42.62,38.08,54.16,787.17,143.12,14.39,3.56,88.33,68.53,90.89,31.30,67.25,80.72,76.68,98.75,130.79,4.81,48.16,17.48,0.64,2.88,35.62,7.62,4.56,13.36,98.31,60.42,75.54,97.04,81.40,75.75,246.13,455.99,31.07,4.90,2.22,0.17,5.09,2.68,63.36,5.00,11.00,832.64,799.47,66.67,65.95,7.00,11.73,1.93,0.30,42.15,0.27,0.73,73.80,536.39,255.95,56.14,62.16,533.76
Cachoeiras de Macacu,RJ,59.36,954.70,59861.00,28439.25,71.91,66.87,39.31,72.66,74.68,87.51,52.78,70.03,81.74,53.89,61.82,28.21,55.86,45.25,27.91,71.18,960.56,155.25,13.41,3.53,77.32,79.89,71.44,28.78,87.69,87.10,69.22,98.70,53.30,3.32,25.22,23.52,3.44,2.52,36.66,7.88,4.42,5.64,93.86,63.12,57.15,97.21,79.70,74.01,258.88,451.54,26.88,9.08,2.90,0.33,8.15,2.45,47.94,6.00,0.00,673.31,1017.67,61.15,104.31,5.00,13.34,3.09,0.29,32.36,0.00,0.31,,399.89,343.99,32.37,42.33,522.98
Mesquita,RJ,59.35,41.20,178830.00,16937.91,77.33,67.40,33.32,70.69,87.16,83.69,67.79,68.90,76.46,53.46,70.78,19.97,53.10,37.81,22.42,83.05,509.31,207.94,15.85,4.15,93.06,97.92,99.64,48.55,89.99,66.07,77.49,97.31,21.76,0.42,12.15,3.01,1.26,3.66,34.96,8.94,4.28,12.86,99.99,39.55,44.93,97.51,90.33,75.31,252.86,501.80,30.48,3.68,1.23,0.00,3.35,65.99,50.86,3.00,0.00,860.47,1776.37,66.23,93.04,5.00,13.37,0.38,0.27,47.67,0.00,0.73,121.74,520.78,280.57,24.73,30.32,505.50
Casimiro de Abreu,RJ,59.27,462.90,48636.00,69151.23,70.96,68.78,38.06,70.66,85.31,91.22,36.64,74.36,82.26,57.87,60.64,24.42,52.96,39.92,34.94,56.32,1050.31,126.90,12.59,3.78,89.43,77.20,89.99,22.20,88.71,83.55,87.71,99.46,83.84,10.84,37.08,3.83,0.28,3.44,30.84,8.66,5.03,7.44,98.08,50.06,67.83,96.39,80.10,73.64,233.35,351.16,29.41,5.14,3.52,0.21,9.61,3.32,50.24,5.00,0.00,1050.68,2050.08,38.40,21.53,7.00,13.00,2.48,0.28,22.90,0.18,0.79,210.53,664.74,620.16,44.80,57.56,538.09
São João de Meriti,RJ,59.21,35.20,466503.00,24724.49,70.39,67.04,40.18,62.66,84.18,80.56,54.18,71.45,78.12,54.96,63.63,36.86,52.42,48.49,22.96,40.35,459.72,159.77,18.75,4.47,90.07,95.83,92.68,46.42,89.18,55.46,75.85,97.62,75.35,2.03,27.61,1.49,1.58,3.16,31.18,7.22,4.18,8.78,100.00,34.10,58.53,97.21,95.00,74.87,273.19,440.30,26.38,2.89,1.14,0.00,0.21,0.97,48.45,6.00,6.00,1058.76,1720.63,69.19,68.03,3.00,13.53,0.86,0.28,34.80,0.00,0.47,34.19,84.41,66.38,24.28,29.61,515.44
Guapimirim,RJ,58.89,358.40,54311.00,29275.52,67.28,66.31,43.08,67.81,64.05,83.24,54.03,73.67,81.87,49.39,60.30,37.37,54.48,42.96,37.51,63.48,997.75,190.89,15.06,3.78,59.57,86.95,76.76,64.05,92.28,72.87,64.39,98.51,57.61,1.44,28.31,15.45,0.58,2.26,33.22,8.36,4.57,6.40,97.20,56.33,59.41,97.48,87.12,73.69,271.69,536.42,27.72,8.83,2.92,0.55,13.37,3.57,51.10,4.00,8.00,943.01,1365.71,72.16,78.72,5.00,13.46,1.05,0.29,20.33,0.00,0.63,93.02,320.53,218.87,54.21,69.08,514.88
Mangaratiba,RJ,58.74,367.60,43660.00,78874.48,69.44,68.11,38.66,71.34,61.41,81.50,63.53,71.26,93.37,51.69,56.14,26.32,51.04,32.87,44.40,75.77,1080.48,168.49,15.70,3.83,38.23,73.94,84.67,43.83,49.26,76.78,77.55,98.33,39.17,2.80,22.88,31.15,0.40,3.76,37.46,10.60,4.88,8.46,94.80,93.03,87.17,96.12,93.45,75.71,270.64,485.37,33.02,5.61,2.27,0.00,6.30,1.80,60.69,2.00,6.00,1515.01,2704.31,81.08,78.86,6.00,12.62,0.95,0.30,42.98,0.15,0.62,176.47,2414.74,1736.35,70.74,89.12,504.67
São Fidélis,RJ,58.45,1034.80,41212.00,23923.57,75.39,64.59,35.36,68.57,72.61,90.70,69.70,78.82,67.78,54.38,57.37,19.99,55.16,38.53,27.75,71.44,2433.65,133.81,18.14,4.40,78.51,90.10,75.73,54.48,80.12,89.73,84.02,99.05,2.50,0.97,3.42,8.29,0.08,0.74,24.54,4.70,4.78,6.66,83.08,17.16,45.28,96.75,77.14,72.21,221.42,391.00,31.54,7.79,7.33,2.67,7.66,1.29,50.40,3.00,0.00,906.47,1459.01,61.84,54.13,4.00,9.96,2.58,0.27,14.36,0.00,0.25,250.00,235.15,298.88,27.56,37.69,546.22
Paraty,RJ,58.14,924.30,47668.00,132675.84,59.98,68.17,46.27,68.21,57.91,82.41,31.39,72.86,83.08,58.59,58.14,58.04,49.75,33.69,43.59,57.87,1175.55,166.39,14.85,3.61,54.49,5.60,88.46,42.28,73.16,75.72,70.26,97.51,98.02,8.58,52.33,21.10,0.80,3.16,26.80,8.42,4.76,11.50,86.01,55.78,80.96,96.70,73.22,75.52,241.31,435.66,27.05,5.60,2.14,0.42,5.17,4.61,61.03,11.00,12.00,1354.61,2255.22,56.00,17.84,10.00,12.43,1.26,0.32,104.56,0.00,0.82,12.77,749.89,385.45,57.02,75.52,567.38
Duque de Caxias,RJ,57.87,467.30,866225.00,80888.92,64.37,65.49,43.76,62.48,75.21,81.38,38.42,68.06,79.04,52.31,62.56,43.70,50.97,48.02,32.36,45.56,708.42,203.37,18.76,3.75,67.49,91.93,81.25,33.31,91.32,56.70,75.59,98.34,93.99,5.00,40.96,6.45,1.60,4.50,38.18,9.26,4.07,9.24,99.86,29.33,67.30,97.33,83.00,75.00,302.81,503.96,26.74,3.70,4.51,0.07,7.45,6.30,49.80,7.00,8.00,892.74,1847.36,67.83,102.05,10.00,13.79,1.34,0.29,28.18,0.41,0.70,35.93,368.39,290.10,44.79,49.80,524.89
Tanguá,RJ,57.78,143.00,32865.00,26131.60,65.02,67.09,41.22,70.85,40.88,83.82,64.50,69.13,82.92,53.68,62.64,39.86,52.60,38.74,33.66,67.51,699.47,148.91,18.09,3.64,44.43,38.44,41.74,64.35,95.75,68.34,68.70,99.37,11.27,7.16,15.20,6.08,0.66,3.08,37.98,9.56,4.38,13.08,97.01,83.08,56.79,87.92,84.26,72.55,260.48,414.39,27.35,4.86,5.92,2.43,8.13,5.54,46.54,5.00,7.00,524.81,856.82,66.49,64.26,3.00,13.68,0.07,0.30,7.36,0.00,0.46,64.52,618.60,735.65,47.86,63.82,497.76
Magé,RJ,57.77,390.80,244142.00,21714.46,63.78,66.98,42.54,68.66,48.91,82.92,54.64,72.05,76.63,49.18,70.06,48.65,54.45,39.40,27.67,78.10,669.87,205.26,18.02,4.24,38.70,77.24,44.87,49.45,91.88,71.50,64.96,98.39,50.83,4.47,25.54,3.77,0.50,3.42,32.74,8.62,4.39,8.48,99.42,23.71,62.46,96.65,86.50,74.91,306.12,546.79,28.95,5.32,1.27,0.16,7.09,13.31,50.10,6.00,12.00,968.88,2094.19,69.16,76.32,7.00,14.01,9.76,0.29,25.67,0.12,0.51,94.34,532.71,411.04,32.49,43.33,517.07
Trajano de Moraes,RJ,57.74,591.20,10654.00,27261.03,62.38,64.58,46.24,70.79,33.44,80.17,65.13,79.57,58.13,61.15,59.49,19.09,60.18,76.57,29.12,47.54,1886.87,117.64,6.42,3.47,31.53,22.88,28.44,48.35,27.63,86.66,72.45,98.66,18.73,3.80,24.35,15.00,0.20,0.64,32.44,6.18,5.26,0.80,57.03,3.43,43.85,96.21,75.34,73.77,223.50,362.74,23.80,3.74,8.41,1.88,11.63,0.17,42.48,1.00,0.00,482.86,865.37,63.66,114.22,1.00,13.51,0.71,0.28,0.00,0.67,0.42,,11.40,12.81,37.68,53.21,496.05
Itaboraí,RJ,56.80,430.00,240127.00,26146.14,60.05,67.44,42.93,70.33,36.28,80.68,52.89,71.33,75.58,51.65,71.18,41.66,50.14,48.68,31.23,63.85,599.25,166.53,14.14,3.69,24.29,71.45,32.65,64.86,88.49,63.00,67.70,97.88,70.50,2.27,33.53,16.56,0.92,2.54,33.92,8.38,4.34,10.08,99.13,12.69,66.17,97.58,84.03,73.75,290.55,448.40,29.37,5.10,2.28,0.50,9.33,12.61,43.56,2.00,11.00,524.81,856.82,66.49,64.26,8.00,12.73,0.52,0.29,11.92,0.00,0.92,23.81,351.21,251.22,40.11,49.50,524.76
Sumidouro,RJ,55.74,413.40,15693.00,46762.31,63.94,65.22,38.06,72.50,36.36,81.32,65.59,75.60,73.87,54.00,57.42,20.20,49.72,52.78,29.55,55.34,1472.51,125.36,13.23,2.51,23.34,32.35,27.16,26.02,61.65,76.22,70.60,98.09,36.65,5.23,10.21,10.22,0.12,2.06,26.56,10.08,5.02,6.18,73.02,47.43,59.07,97.07,84.52,72.78,251.59,485.22,23.69,3.84,5.22,1.27,11.97,0.77,50.39,1.00,2.00,532.22,2748.87,62.33,75.78,7.00,15.07,7.62,0.31,0.00,0.36,0.00,,180.29,395.26,34.46,46.57,527.10
Carapebus,RJ,55.28,304.90,14329.00,72973.20,60.07,65.78,39.99,70.66,40.40,87.97,41.25,74.98,73.43,56.89,57.83,20.90,50.92,46.55,41.60,66.87,270.52,102.90,15.49,5.55,25.44,85.75,23.98,44.81,82.64,85.81,75.20,98.97,92.70,5.65,27.98,13.98,0.36,0.18,27.80,6.94,4.67,12.24,98.68,11.05,60.46,95.99,68.59,73.30,265.01,330.71,30.25,5.60,6.03,0.70,3.53,1.77,52.70,4.00,0.00,975.09,2332.05,61.12,45.05,4.00,14.19,1.15,0.29,0.00,0.22,0.81,125.00,417.17,489.62,61.88,84.42,506.43
Japeri,RJ,54.33,81.70,102171.00,18349.61,63.72,64.84,34.43,59.00,68.37,73.52,53.99,71.13,69.83,51.81,66.59,27.77,45.82,39.30,24.82,34.96,572.42,184.47,19.62,4.77,68.07,77.25,75.53,48.11,86.23,35.22,70.92,96.95,58.23,2.42,28.52,7.23,1.10,4.20,36.06,7.34,4.03,5.86,99.55,4.17,49.72,95.09,88.28,73.51,289.11,459.81,28.33,2.54,0.97,0.29,3.37,7.53,51.19,6.00,2.00,1242.03,3285.10,57.28,29.16,3.00,16.93,0.06,0.33,15.50,0.00,0.83,400.00,534.73,474.75,28.96,42.01,494.62
São Francisco de Itabapoana,RJ,51.61,1118.00,47397.00,31254.45,51.00,60.15,43.68,70.00,31.01,87.55,15.44,68.58,65.55,48.10,58.36,32.23,49.55,70.71,22.21,58.62,917.32,136.55,17.97,3.35,19.66,3.32,43.63,48.38,87.07,74.64,82.83,99.40,165.22,22.12,66.51,23.90,3.48,2.72,34.04,8.72,4.51,10.32,83.71,6.42,55.11,90.00,80.30,72.44,361.88,388.10,26.71,9.38,6.08,5.49,13.70,5.95,53.95,8.00,0.00,433.22,1400.34,78.19,276.87,5.00,15.83,1.69,0.30,3.22,0.15,0.95,,42.60,16.19,21.02,32.20,508.82
