Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Rio Claro,RJ,63.88,846.80,17951.00,32167.07,75.93,63.34,52.35,80.46,71.43,93.62,58.23,77.02,68.77,52.28,55.29,62.69,60.27,50.20,36.25,94.50,821.40,138.87,13.36,2.78,77.62,88.75,69.07,48.04,88.21,93.27,91.33,97.11,47.52,0.00,21.10,13.31,0.30,1.12,33.28,6.34,5.13,5.94,87.57,8.36,54.11,95.87,83.35,73.07,252.49,425.24,32.77,5.54,8.51,0.56,10.99,0.60,52.13,13.00,12.00,916.98,1923.02,81.01,109.41,5.00,12.12,5.52,0.27,10.17,0.00,0.59,,349.86,494.59,53.13,68.57,503.46
Miracema,RJ,63.83,303.30,28416.00,26114.76,77.37,66.94,47.19,75.76,82.89,94.92,55.91,81.18,74.06,54.44,58.09,32.33,60.16,66.61,29.68,77.53,1750.54,111.08,12.59,3.53,89.87,98.63,92.01,53.39,93.55,97.71,86.14,98.73,55.35,4.10,19.73,7.75,0.02,0.66,29.72,5.26,5.88,3.74,96.08,25.54,49.82,98.13,78.70,73.32,266.75,391.27,28.43,7.05,4.17,0.70,4.16,3.07,55.88,9.00,0.00,818.03,1366.19,61.50,39.92,6.00,12.75,4.65,0.27,3.74,0.00,0.43,,19.15,15.54,34.93,41.59,539.72
Cabo Frio,RJ,63.82,413.40,238438.00,71148.36,70.20,69.74,51.52,71.98,83.79,86.20,38.82,71.45,90.87,56.15,60.48,63.67,56.58,47.08,38.74,66.44,501.64,121.22,15.55,4.25,77.39,93.51,97.04,32.22,84.52,74.49,78.94,99.18,98.69,4.82,39.10,6.45,1.76,2.82,31.78,7.34,4.33,9.26,99.67,82.19,78.04,96.63,81.82,75.16,255.49,395.00,33.10,3.26,1.74,0.55,10.02,6.04,57.64,13.00,12.00,969.80,1699.92,61.09,63.98,10.00,13.20,2.81,0.28,50.69,0.00,0.30,11.40,76.48,69.49,50.39,61.91,559.02
Itatiaia,RJ,63.73,241.00,32713.00,213636.32,71.81,71.10,48.29,69.89,84.22,91.08,42.03,75.47,86.44,58.58,63.89,33.12,52.72,43.76,63.54,57.27,1156.61,109.10,15.16,4.27,93.32,88.26,96.27,51.15,92.23,87.44,84.81,96.94,88.08,3.62,36.41,8.60,0.58,3.80,30.88,6.60,4.90,4.90,97.75,57.36,83.90,95.26,79.82,75.16,286.94,346.66,23.79,6.81,3.91,0.92,6.28,7.63,49.93,4.00,7.00,1159.60,1847.92,81.70,44.96,4.00,11.74,0.50,0.28,36.27,0.15,0.72,27.78,561.30,241.51,130.36,119.02,519.00
Pinheiral,RJ,63.71,82.30,25096.00,47326.15,76.81,69.26,45.05,77.73,80.19,94.35,54.95,78.50,82.17,51.84,64.55,22.43,62.07,55.64,40.04,88.49,867.96,165.21,12.54,2.83,92.55,99.01,87.40,64.36,97.53,93.79,85.11,99.16,64.12,3.11,24.09,6.44,0.34,0.76,24.94,4.36,4.54,5.38,99.50,45.55,67.90,97.50,83.54,73.03,251.40,495.66,27.23,7.24,1.66,0.00,4.16,1.90,45.24,0.00,4.00,818.05,1699.53,68.64,137.32,4.00,12.00,15.50,0.28,9.42,0.22,0.78,,341.14,329.79,51.33,70.50,551.38
Três Rios,RJ,63.68,322.80,82319.00,73101.42,73.80,69.29,47.95,71.39,92.93,88.99,41.90,76.40,85.75,49.72,65.31,54.95,51.80,36.97,48.09,62.45,683.48,151.68,13.33,3.52,97.33,98.19,97.72,25.10,85.28,88.90,84.03,93.33,82.83,3.71,28.20,24.55,0.68,2.42,28.66,6.12,4.89,5.76,98.92,63.67,69.87,97.26,89.65,73.03,293.16,466.46,27.02,8.02,2.39,2.19,6.38,5.10,45.66,9.00,12.00,782.69,1461.10,83.98,91.31,7.00,13.19,1.95,0.29,67.15,0.27,0.44,114.29,372.33,271.48,72.08,83.38,561.41
Rio das Flores,RJ,63.00,478.80,9267.00,36548.51,78.84,64.35,45.80,66.83,84.14,92.28,72.12,75.01,66.43,58.08,57.89,39.30,58.55,30.95,54.39,68.09,1717.73,152.53,22.96,4.11,93.22,90.61,72.28,18.23,85.90,90.20,89.82,97.40,9.73,0.00,4.32,4.34,0.02,1.42,36.66,7.04,5.03,9.06,81.67,13.49,44.78,96.17,100.00,74.32,176.62,455.63,27.12,4.34,9.29,1.08,5.82,1.29,48.64,7.00,5.00,592.61,1347.54,79.60,192.22,7.00,13.39,0.17,0.26,1.26,0.00,0.00,10000.00,1058.25,144.08,88.89,111.34,523.20
Bom Jardim,RJ,62.94,382.40,29758.00,34240.20,75.10,68.06,45.65,73.38,66.40,93.60,67.02,75.24,77.18,53.28,66.54,30.42,55.57,64.16,32.44,84.12,1723.91,160.28,15.96,3.50,60.08,92.70,58.85,31.71,90.85,93.45,85.61,99.44,19.28,2.75,15.67,19.13,0.40,0.76,34.44,7.82,4.92,7.18,79.55,66.80,50.79,96.30,86.36,73.56,221.24,469.52,28.80,10.23,3.16,0.00,14.16,4.06,38.15,1.00,8.00,938.10,1780.89,77.22,79.36,8.00,10.66,0.00,0.29,10.51,0.36,0.50,,48.42,73.55,36.84,50.45,547.00
Natividade,RJ,62.70,387.10,15551.00,26264.29,78.68,66.26,43.15,72.27,76.26,95.64,70.54,82.25,74.99,57.75,50.03,19.63,53.94,53.22,45.82,84.98,1469.63,139.10,12.38,5.37,87.60,96.29,76.47,57.33,91.45,97.45,89.90,99.30,12.46,0.00,11.55,14.13,0.08,0.00,19.60,3.86,4.88,1.84,77.43,58.20,48.46,97.55,71.37,73.36,214.52,425.48,26.02,7.70,8.78,1.93,7.14,0.18,63.36,3.00,0.00,769.11,2215.11,77.03,137.25,7.00,15.12,0.14,0.26,8.31,0.18,0.63,,509.17,253.39,74.10,85.59,521.57
Campos dos Goytacazes,RJ,62.68,4032.50,519259.00,82720.70,71.20,68.22,48.63,67.71,75.38,88.95,52.77,69.48,81.77,58.90,62.71,51.92,51.75,47.55,43.32,64.38,882.81,160.01,20.34,4.04,68.66,71.13,97.55,42.73,94.72,79.94,79.30,98.90,53.61,3.96,25.28,22.51,2.72,2.00,37.98,6.68,4.09,9.48,97.34,51.41,63.65,97.27,61.41,74.82,255.32,482.02,20.10,6.98,2.98,1.44,10.35,4.89,48.63,11.00,7.00,592.23,1204.83,63.54,103.43,11.00,14.33,3.05,0.29,31.02,0.08,0.62,22.04,201.03,144.25,60.74,78.18,546.73
